 No., GenContingencyIndex, GenBusNumber, #ofPVtoPQ
 1 1 4 2
 2 2 6 2
 3 3 10 1
 4 4 10 2
 5 5 12 2
 6 6 15 1
 7 7 19 1
 8 8 25 1
 9 9 25 1
 10 10 25 1
 11 11 26 1
 12 12 26 1
 13 13 26 1
 14 14 87 2
 15 15 87 2
 16 16 46 3
 17 17 49 2
 18 18 49 2
 19 19 49 2
 20 20 49 2
 21 21 54 1
 22 22 59 2
 23 23 59 3
 24 24 59 3
 25 25 59 3
 26 26 59 3
 27 27 59 3
 28 28 65 0
 29 29 65 0
 30 30 66 0
 31 31 66 0
 32 32 66 0
 33 33 66 0
 34 34 66 0
 35 35 66 0
 36 36 66 0
 37 37 66 0
 38 38 66 0
 39 39 66 0
 40 40 69 0
 41 41 69 0
 42 42 80 3
 43 43 80 3
 44 44 80 3
 45 45 87 0
 46 46 87 0
 47 47 31 3
 48 48 89 4
 49 49 89 4
 50 50 90 3
 51 51 90 3
 52 52 90 3
 53 53 90 3
 54 54 90 3
 55 55 100 2
 56 56 103 1
 57 57 103 1
 58 58 111 0
 59 59 111 0
 60 60 111 0
 61 61 111 0
 62 62 111 0
 63 63 111 0
 64 64 111 0
 65 65 111 0
 66 66 17 7
 67 67 5 7
 68 68 15 8
 69 69 40 6
 70 70 103 8
 71 71 59 8
