 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 2 6
 2 2 1 3 6
 3 3 4 5 7
 4 4 3 5 6
 5 5 5 6 6
 6 6 6 7 6
 7 8 8 5 6
 8 10 4 11 7
 9 11 5 11 6
 10 12 11 12 6
 11 13 2 12 6
 12 14 3 12 6
 13 15 7 12 6
 14 16 11 13 5
 15 17 12 14 6
 16 18 13 15 7
 17 19 14 15 7
 18 20 12 16 5
 19 21 15 17 7
 20 22 16 17 6
 21 23 17 18 6
 22 24 18 19 5
 23 25 19 20 5
 24 26 15 19 7
 25 27 20 21 5
 26 28 21 22 2
 27 29 22 23 3
 28 30 23 24 5
 29 31 23 25 5
 30 32 26 25 7
 31 33 25 27 6
 32 34 27 28 6
 33 35 28 29 6
 34 36 30 17 6
 35 37 8 30 7
 36 38 26 30 7
 37 39 17 31 6
 38 40 29 31 5
 39 41 23 32 2
 40 42 31 32 5
 41 43 27 32 4
 42 44 15 33 6
 43 45 19 34 4
 44 46 35 36 6
 45 47 35 37 6
 46 48 33 37 7
 47 49 34 36 5
 48 50 34 37 6
 49 51 38 37 5
 50 52 37 39 4
 51 53 37 40 4
 52 54 30 38 6
 53 55 39 40 4
 54 56 40 41 5
 55 57 40 42 6
 56 58 41 42 6
 57 59 43 44 5
 58 60 34 43 6
 59 61 44 45 6
 60 62 45 46 6
 61 63 46 47 5
 62 64 46 48 7
 63 65 47 49 6
 64 66 42 49 5
 65 67 42 49 5
 66 68 45 49 4
 67 69 48 49 5
 68 70 49 50 5
 69 71 49 51 5
 70 72 51 52 5
 71 73 52 53 6
 72 74 53 54 4
 73 75 49 54 5
 74 76 49 54 6
 75 77 54 55 5
 76 78 54 56 5
 77 79 55 56 4
 78 80 56 57 5
 79 81 50 57 5
 80 82 56 58 5
 81 83 51 58 5
 82 84 54 59 5
 83 85 56 59 5
 84 86 56 59 5
 85 87 55 59 4
 86 88 59 60 6
 87 89 59 61 6
 88 90 60 61 5
 89 91 60 62 6
 90 92 61 62 6
 91 93 63 59 4
 92 94 63 64 4
 93 95 64 61 4
 94 96 38 65 7
 95 97 64 65 4
 96 98 49 66 4
 97 99 49 66 4
 98 100 62 66 6
 99 101 62 67 6
 100 102 65 66 7
 101 103 66 67 6
 102 104 65 68 5
 103 105 47 69 5
 104 106 49 69 5
 105 107 68 69 6
 106 108 69 70 6
 107 109 24 70 5
 108 110 70 71 5
 109 111 24 72 5
 110 112 71 72 5
 111 114 70 74 4
 112 115 70 75 4
 113 116 69 75 6
 114 117 74 75 3
 115 118 76 77 2
 116 119 69 77 6
 117 120 75 77 2
 118 121 77 78 5
 119 122 78 79 5
 120 123 77 80 3
 121 124 77 80 4
 122 125 79 80 4
 123 126 68 81 4
 124 127 81 80 4
 125 128 77 82 4
 126 129 82 83 6
 127 130 83 84 6
 128 131 83 85 6
 129 132 84 85 6
 130 135 85 88 6
 131 136 85 89 6
 132 137 88 89 5
 133 138 89 90 6
 134 139 89 90 5
 135 140 90 91 5
 136 141 89 92 6
 137 142 89 92 6
 138 143 91 92 5
 139 144 92 93 5
 140 145 92 94 5
 141 146 93 94 5
 142 147 94 95 3
 143 148 80 96 4
 144 149 82 96 2
 145 150 94 96 4
 146 151 80 97 4
 147 152 80 98 4
 148 153 80 99 5
 149 154 92 100 4
 150 155 94 100 4
 151 156 95 96 5
 152 157 96 97 4
 153 158 98 100 5
 154 159 99 100 5
 155 160 100 101 4
 156 161 92 102 5
 157 162 101 102 6
 158 163 100 103 5
 159 164 100 104 2
 160 165 103 104 5
 161 166 103 105 5
 162 167 100 106 2
 163 168 104 105 3
 164 169 105 106 5
 165 170 105 107 5
 166 171 105 108 5
 167 172 106 107 3
 168 173 108 109 5
 169 174 103 110 6
 170 175 109 110 5
 171 178 17 113 6
 172 179 32 113 6
 173 180 32 114 4
 174 181 27 115 6
 175 182 114 115 4
 176 185 75 118 4
 177 186 76 118 5
