 Branch index starts from 1.
 No., idxContiBrc, frmBusNum, toBusNum, brcID
 1 1 1 2 1
 2 2 1 3 1
 3 3 4 5 1
 4 4 3 5 1
 5 5 5 6 1
 6 6 6 7 1
 7 8 8 5 1
 8 10 4 11 1
 9 11 5 11 1
 10 12 11 12 1
 11 13 2 12 1
 12 14 3 12 1
 13 15 7 12 1
 14 16 11 13 1
 15 17 12 14 1
 16 18 13 15 1
 17 19 14 15 1
 18 20 12 16 1
 19 21 15 17 1
 20 22 16 17 1
 21 23 17 18 1
 22 24 18 19 1
 23 25 19 20 1
 24 26 15 19 1
 25 27 20 21 1
 26 28 21 22 1
 27 29 22 23 1
 28 30 23 24 1
 29 31 23 25 1
 30 32 26 25 1
 31 33 25 27 1
 32 34 27 28 1
 33 35 28 29 1
 34 36 30 17 1
 35 37 8 30 1
 36 38 26 30 1
 37 39 17 31 1
 38 40 29 31 1
 39 41 23 32 1
 40 42 31 32 1
 41 43 27 32 1
 42 44 15 33 1
 43 45 19 34 1
 44 46 35 36 1
 45 47 35 37 1
 46 48 33 37 1
 47 49 34 36 1
 48 50 34 37 1
 49 51 38 37 1
 50 52 37 39 1
 51 53 37 40 1
 52 54 30 38 1
 53 55 39 40 1
 54 56 40 41 1
 55 57 40 42 1
 56 58 41 42 1
 57 59 43 44 1
 58 60 34 43 1
 59 61 44 45 1
 60 62 45 46 1
 61 63 46 47 1
 62 64 46 48 1
 63 65 47 49 1
 64 66 42 49 1
 65 67 42 49 2
 66 68 45 49 1
 67 69 48 49 1
 68 70 49 50 1
 69 71 49 51 1
 70 72 51 52 1
 71 73 52 53 1
 72 74 53 54 1
 73 75 49 54 1
 74 76 49 54 2
 75 77 54 55 1
 76 78 54 56 1
 77 79 55 56 1
 78 80 56 57 1
 79 81 50 57 1
 80 82 56 58 1
 81 83 51 58 1
 82 84 54 59 1
 83 85 56 59 1
 84 86 56 59 2
 85 87 55 59 1
 86 88 59 60 1
 87 89 59 61 1
 88 90 60 61 1
 89 91 60 62 1
 90 92 61 62 1
 91 93 63 59 1
 92 94 63 64 1
 93 95 64 61 1
 94 96 38 65 1
 95 97 64 65 1
 96 98 49 66 1
 97 99 49 66 2
 98 100 62 66 1
 99 101 62 67 1
 100 102 65 66 1
 101 103 66 67 1
 102 104 65 68 1
 103 105 47 69 1
 104 106 49 69 1
 105 107 68 69 1
 106 108 69 70 1
 107 109 24 70 1
 108 110 70 71 1
 109 111 24 72 1
 110 112 71 72 1
 111 114 70 74 1
 112 115 70 75 1
 113 116 69 75 1
 114 117 74 75 1
 115 118 76 77 1
 116 119 69 77 1
 117 120 75 77 1
 118 121 77 78 1
 119 122 78 79 1
 120 123 77 80 1
 121 124 77 80 2
 122 125 79 80 1
 123 126 68 81 1
 124 127 81 80 1
 125 128 77 82 1
 126 129 82 83 1
 127 130 83 84 1
 128 131 83 85 1
 129 132 84 85 1
 130 135 85 88 1
 131 136 85 89 1
 132 137 88 89 1
 133 138 89 90 1
 134 139 89 90 2
 135 140 90 91 1
 136 141 89 92 1
 137 142 89 92 2
 138 143 91 92 1
 139 144 92 93 1
 140 145 92 94 1
 141 146 93 94 1
 142 147 94 95 1
 143 148 80 96 1
 144 149 82 96 1
 145 150 94 96 1
 146 151 80 97 1
 147 152 80 98 1
 148 153 80 99 1
 149 154 92 100 1
 150 155 94 100 1
 151 156 95 96 1
 152 157 96 97 1
 153 158 98 100 1
 154 159 99 100 1
 155 160 100 101 1
 156 161 92 102 1
 157 162 101 102 1
 158 163 100 103 1
 159 164 100 104 1
 160 165 103 104 1
 161 166 103 105 1
 162 167 100 106 1
 163 168 104 105 1
 164 169 105 106 1
 165 170 105 107 1
 166 171 105 108 1
 167 172 106 107 1
 168 173 108 109 1
 169 174 103 110 1
 170 175 109 110 1
 171 178 17 113 1
 172 179 32 113 1
 173 180 32 114 1
 174 181 27 115 1
 175 182 114 115 1
 176 185 75 118 1
 177 186 76 118 1
