 Gen index starts from 1.
 No., idxContiGen, genBusNum, genID
 1 1 4 1
 2 2 6 1
 3 3 10 1
 4 4 10 2
 5 5 12 1
 6 6 15 1
 7 7 19 1
 8 8 25 1
 9 9 25 2
 10 10 25 3
 11 11 26 1
 12 12 26 2
 13 13 26 3
 14 14 87 1
 15 15 87 2
 16 16 46 1
 17 17 49 1
 18 18 49 2
 19 19 49 3
 20 20 49 4
 21 21 54 1
 22 22 59 1
 23 23 59 2
 24 24 59 3
 25 25 59 4
 26 26 59 5
 27 27 59 6
 28 28 65 1
 29 29 65 2
 30 30 66 1
 31 31 66 2
 32 32 66 3
 33 33 66 4
 34 34 66 5
 35 35 66 6
 36 36 66 7
 37 37 66 8
 38 38 66 9
 39 39 66 10
 40 40 69 1
 41 41 69 2
 42 42 80 1
 43 43 80 2
 44 44 80 3
 45 45 87 3
 46 46 87 4
 47 47 31 1
 48 48 89 1
 49 49 89 2
 50 50 90 1
 51 51 90 2
 52 52 90 3
 53 53 90 4
 54 54 90 5
 55 55 100 1
 56 56 103 1
 57 57 103 2
 58 58 111 1
 59 59 111 2
 60 60 111 3
 61 61 111 4
 62 62 111 5
 63 63 111 6
 64 64 111 7
 65 65 111 8
 66 66 17 1
 67 67 5 1
 68 68 15 2
 69 69 40 1
 70 70 103 3
 71 71 59 7
