 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 2 1
 2 2 3 1 1
 3 3 1 5 0
 4 4 2 4 1
 5 5 2 6 0
 6 6 3 9 1
 7 7 4 9 1
 8 8 10 5 1
 9 9 10 6 2
 10 11 8 9 1
 11 12 8 10 1
 12 13 11 13 1
 13 14 11 14 1
 14 15 12 13 1
 15 16 12 23 1
 16 17 23 13 1
 17 18 14 16 1
 18 19 16 15 1
 19 20 15 21 1
 20 21 21 15 1
 21 22 15 24 2
 22 23 16 17 1
 23 24 16 19 1
 24 25 17 18 1
 25 26 17 22 1
 26 27 18 21 1
 27 28 18 21 1
 28 29 19 20 0
 29 30 19 20 0
 30 31 20 23 0
 31 32 20 23 0
 32 33 21 22 0
 33 34 24 3 2
 34 35 11 9 1
 35 36 9 12 1
 36 37 11 10 1
 37 38 12 10 1
