 No., GenContingencyIndex, GenBusNumber, #ofPVtoPQ
 1 1 10 42
 2 2 16 46
 3 3 17 50
 4 4 18 38
 5 5 29 37
 6 6 30 38
 7 7 31 49
 8 8 41 42
 9 9 42 43
 10 10 43 43
 11 11 44 43
 12 12 45 33
 13 13 63 55
 14 14 64 51
 15 15 67 39
 16 16 83 56
 17 17 84 52
 18 18 85 49
 19 19 86 49
 20 20 93 45
 21 21 95 45
 22 22 97 50
 23 23 103 54
 24 24 104 56
 25 25 105 40
 26 26 109 55
 27 27 110 57
 28 28 111 40
 29 29 123 38
 30 30 124 44
 31 31 125 34
 32 32 127 39
 33 33 131 46
 34 34 132 38
 35 35 139 45
 36 36 140 40
 37 37 176 41
 38 38 177 34
 39 39 180 34
 40 40 181 44
 41 41 182 40
 42 42 184 44
 43 43 185 35
 44 44 186 36
 45 45 192 38
 46 46 196 36
 47 47 198 36
 48 48 205 44
 49 49 213 47
 50 50 264 35
 51 51 269 30
 52 52 277 41
 53 53 278 32
 54 54 279 32
 55 55 281 40
 56 56 282 43
 57 57 289 32
 58 58 294 32
 59 59 314 45
 60 60 328 42
 61 61 329 45
 62 62 330 32
 63 63 331 45
 64 64 334 33
 65 65 346 36
 66 66 347 29
 67 67 359 33
 68 68 365 34
 69 69 382 44
 70 70 383 45
 71 71 385 45
 72 72 390 33
 73 73 395 29
 74 74 404 36
 75 75 426 31
 76 76 444 32
 77 77 451 45
 78 78 482 35
 79 79 492 34
 80 80 493 41
 81 81 494 48
 82 82 514 41
 83 83 515 43
 84 84 525 35
 85 85 536 47
 86 86 537 37
 87 87 556 34
 88 88 580 51
 89 89 584 56
 90 90 585 57
 91 91 607 35
 92 92 612 44
 93 93 613 45
 94 94 615 37
 95 95 623 54
 96 96 639 37
 97 97 651 35
 98 98 654 33
 99 99 664 41
 100 100 670 34
 101 101 674 36
 102 102 688 42
 103 103 692 30
 104 104 699 46
 105 105 712 51
 106 106 730 44
 107 107 732 38
 108 108 735 36
 109 109 740 35
 110 110 744 45
 111 111 754 39
 112 112 755 46
 113 113 760 47
 114 114 766 37
 115 115 784 35
 116 116 790 44
 117 117 795 34
 118 118 798 36
 119 119 814 51
 120 120 834 37
 121 121 878 37
 122 122 884 34
 123 123 892 51
 124 124 895 52
 125 125 901 37
 126 126 910 36
 127 127 911 53
 128 128 912 52
 129 129 914 42
 130 130 917 47
 131 131 919 58
 132 132 920 34
 133 133 929 52
 134 134 959 34
 135 135 968 35
 136 136 993 40
 137 137 994 37
 138 138 995 54
 139 139 996 49
 140 140 997 41
 141 141 1004 35
 142 142 1024 34
 143 143 1027 52
 144 144 1028 41
 145 145 1029 51
 146 146 1053 51
 147 147 1054 49
 148 148 1105 36
 149 149 1106 44
 150 150 1107 38
 151 151 1138 54
 152 152 1140 53
 153 153 1141 51
 154 154 1175 53
 155 155 1182 56
 156 156 1183 50
 157 157 1184 49
 158 158 1191 49
 159 159 1192 53
 160 160 1201 49
 161 161 1202 49
 162 162 1203 49
 163 163 1232 50
 164 164 1233 38
 165 165 1244 54
 166 166 1247 53
 167 167 1250 52
 168 168 1268 35
 169 169 1316 52
 170 170 1325 49
 171 171 1349 35
 172 172 1356 35
 173 173 1359 34
 174 174 1393 39
 175 175 1403 36
 176 176 1416 54
 177 177 1417 54
 178 178 1418 34
 179 179 1426 47
 180 180 1429 37
 181 181 1469 36
 182 182 1475 35
 183 183 1504 38
 184 184 1505 38
 185 185 1514 35
 186 186 1534 34
 187 187 1536 53
 188 188 1537 48
 189 189 1538 54
 190 190 1542 34
 191 191 1543 49
 192 192 1550 34
 193 193 1566 48
 194 194 1587 57
 195 195 1600 58
 196 196 1602 41
 197 197 1603 38
 198 198 1609 34
 199 199 1617 34
 200 200 1620 33
 201 201 1627 37
 202 202 1630 35
 203 203 1635 33
 204 204 1638 41
 205 205 1664 31
 206 206 1669 34
 207 207 1673 34
 208 208 1674 41
 209 209 1679 34
 210 210 1683 38
 211 211 1685 37
 212 212 1686 32
 213 213 1698 37
 214 214 1700 33
 215 215 1706 30
 216 216 1710 35
 217 217 1712 47
 218 218 1717 36
 219 219 1719 48
 220 220 1726 44
 221 221 1728 36
 222 222 1730 34
 223 223 1734 33
 224 224 1735 34
 225 225 1739 35
 226 226 1742 34
 227 227 1749 32
 228 228 1758 36
 229 229 1760 40
 230 230 1761 44
 231 231 1763 44
 232 232 1764 44
 233 233 1768 37
 234 234 1788 34
 235 235 1793 50
 236 236 1799 35
 237 237 1807 37
 238 238 1844 49
 239 239 1845 34
 240 240 1870 34
 241 241 1871 36
 242 242 1874 35
 243 243 1875 35
 244 244 1882 45
 245 245 1883 46
 246 246 1894 48
 247 247 1895 33
 248 248 1904 27
 249 249 1918 33
 250 250 1921 37
 251 251 1932 36
 252 252 1940 36
 253 253 1947 36
 254 254 1960 35
 255 255 1961 36
 256 256 1962 35
 257 257 1964 34
 258 258 1966 33
 259 259 1970 34
 260 260 1974 35
 261 261 1976 36
 262 262 1977 35
 263 263 1993 54
 264 264 1995 26
 265 265 1996 33
 266 266 1998 36
 267 267 2010 34
 268 268 2021 41
 269 269 2022 37
 270 270 2026 44
 271 271 2027 34
 272 272 2033 35
 273 273 2034 35
 274 274 2036 33
 275 275 2046 51
 276 276 2085 35
 277 277 2088 36
 278 278 2099 29
 279 279 2106 51
 280 280 2107 36
 281 281 2108 35
 282 282 2115 35
 283 283 2119 39
 284 284 2121 33
 285 285 2127 35
 286 286 2138 43
 287 287 2139 42
 288 288 2140 45
 289 289 2153 33
 290 290 2159 45
 291 291 2164 34
 292 292 2167 41
 293 293 2168 40
 294 294 2171 35
 295 295 2194 44
 296 296 2197 48
 297 297 2204 46
 298 298 2213 36
 299 299 2217 48
 300 300 2218 32
 301 301 2221 47
 302 302 2225 48
 303 303 2234 48
 304 304 2237 45
 305 305 2248 45
 306 306 2268 35
 307 307 2271 36
 308 308 2272 30
 309 309 2273 43
 310 310 2278 37
 311 311 2290 29
 312 312 2293 36
 313 313 2294 29
 314 314 2296 28
 315 315 2298 30
 316 316 2307 31
 317 317 2323 48
 318 318 2328 34
 319 319 2330 32
 320 320 2336 46
 321 321 2339 51
 322 322 2361 46
 323 323 2372 50
