 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 16 41
 2 2 2 17 43
 3 3 3 10 49
 4 4 4 7 49
 5 5 4 11 53
 6 6 4 14 28
 7 7 4 16 43
 8 8 4 22 44
 9 9 5 7 50
 10 10 5 10 45
 11 11 6 8 43
 12 12 6 9 53
 13 13 6 15 49
 14 14 6 31 42
 15 15 7 12 32
 16 16 7 13 47
 17 17 7 19 46
 18 18 7 21 52
 19 19 7 29 46
 20 20 8 18 43
 21 21 10 171 55
 22 22 11 16 45
 23 23 11 17 37
 24 24 11 111 30
 25 25 12 140 58
 26 26 13 29 45
 27 27 14 17 37
 28 28 15 18 44
 29 29 15 165 58
 30 30 16 73 56
 31 31 17 74 54
 32 32 18 20 50
 33 33 18 75 29
 34 34 18 76 31
 35 35 18 101 47
 36 36 19 124 52
 37 37 20 67 46
 38 38 22 112 51
 39 39 23 37 54
 40 40 23 46 48
 41 41 23 53 48
 42 42 24 54 47
 43 43 25 41 43
 44 44 25 53 54
 45 45 25 54 52
 46 46 26 38 52
 47 47 27 28 29
 48 48 27 33 43
 49 49 27 48 29
 50 50 27 74 28
 51 51 28 47 30
 52 52 28 88 25
 53 53 29 30 64
 54 54 29 45 51
 55 55 29 48 36
 56 56 30 46 51
 57 57 30 49 29
 58 58 31 32 48
 59 59 31 39 38
 60 60 32 36 53
 61 61 34 35 48
 62 62 34 51 50
 63 63 34 183 44
 64 64 35 183 42
 65 65 37 38 56
 66 66 38 55 49
 67 67 39 40 32
 68 68 40 44 50
 69 69 41 42 52
 70 70 41 80 50
 71 71 42 47 45
 72 72 42 54 45
 73 73 43 44 49
 74 74 43 99 47
 75 75 44 50 48
 76 76 45 46 52
 77 77 45 49 30
 78 78 48 49 50
 79 79 50 51 51
 80 80 50 98 45
 81 81 50 100 40
 82 82 52 53 48
 83 84 56 74 47
 84 87 59 63 59
 85 88 59 82 33
 86 89 60 85 43
 87 90 60 104 47
 88 91 61 62 58
 89 92 61 64 52
 90 94 61 184 43
 91 95 62 82 54
 92 97 63 71 43
 93 98 63 91 49
 94 99 63 94 51
 95 100 63 96 49
 96 101 64 69 46
 97 102 64 79 44
 98 103 64 93 45
 99 104 64 95 49
 100 105 65 90 44
 101 106 65 91 46
 102 107 66 68 50
 103 108 66 152 36
 104 109 67 138 40
 105 110 68 78 45
 106 111 69 83 43
 107 112 70 73 55
 108 113 70 107 57
 109 115 71 86 46
 110 116 73 87 41
 111 117 74 108 51
 112 118 75 76 35
 113 119 76 105 44
 114 120 77 84 47
 115 121 77 85 53
 116 122 78 103 35
 117 123 79 88 30
 118 124 80 81 52
 119 125 80 96 52
 120 126 81 93 50
 121 127 83 84 45
 122 128 83 103 35
 123 129 84 184 53
 124 130 85 86 50
 125 131 86 108 52
 126 132 87 88 48
 127 133 87 94 43
 128 134 89 94 56
 129 135 89 102 52
 130 136 90 104 36
 131 137 92 100 53
 132 138 92 106 45
 133 139 93 94 50
 134 140 95 96 42
 135 141 95 102 41
 136 142 98 99 47
 137 143 99 101 42
 138 144 100 101 52
 139 145 103 104 44
 140 146 105 106 50
 141 149 107 108 41
 142 150 111 112 52
 143 151 111 123 33
 144 152 111 124 40
 145 153 113 114 56
 146 154 113 151 44
 147 155 114 131 52
 148 156 115 116 42
 149 157 115 133 49
 150 158 116 138 38
 151 159 117 140 39
 152 160 117 143 45
 153 162 118 126 49
 154 163 118 142 40
 155 164 120 125 46
 156 165 120 130 31
 157 167 121 151 56
 158 168 123 124 35
 159 169 123 140 33
 160 170 123 144 42
 161 171 124 139 35
 162 172 125 126 46
 163 173 125 135 40
 164 174 125 186 34
 165 175 126 186 35
 166 176 127 128 50
 167 177 127 157 36
 168 178 128 145 50
 169 179 129 143 47
 170 180 129 148 45
 171 181 130 132 52
 172 182 130 154 46
 173 183 131 132 51
 174 184 131 147 47
 175 185 131 151 51
 176 186 132 148 46
 177 187 132 150 51
 178 188 133 134 45
 179 189 133 182 38
 180 190 134 182 35
 181 192 135 142 35
 182 194 139 140 47
 183 195 139 166 46
 184 196 139 174 46
 185 197 140 167 44
 186 198 141 144 42
 187 199 141 178 52
 188 200 143 144 43
 189 201 143 149 55
 190 202 144 147 37
 191 204 147 148 53
 192 205 147 154 51
 193 206 150 151 46
 194 207 150 152 32
 195 209 155 166 65
 196 210 156 179 49
 197 211 157 158 44
 198 212 158 176 46
 199 213 159 160 46
 200 214 159 165 55
 201 215 159 176 48
 202 216 160 168 52
 203 217 160 177 48
 204 218 161 162 53
 205 219 161 166 46
 206 220 162 179 54
 207 221 163 164 47
 208 222 163 172 61
 209 223 164 167 48
 210 224 166 167 49
 211 225 168 169 51
 212 226 170 171 57
 213 227 170 174 50
 214 228 172 173 55
 215 229 173 175 49
 216 230 174 175 48
 217 231 176 177 41
 218 232 178 179 52
 219 233 187 202 56
 220 234 187 423 52
 221 235 188 434 37
 222 236 188 437 31
 223 239 190 355 52
 224 240 190 376 52
 225 243 192 193 50
 226 244 192 194 52
 227 245 192 308 44
 228 247 193 332 53
 229 248 194 248 53
 230 249 194 256 53
 231 250 194 332 55
 232 251 195 285 62
 233 252 195 514 59
 234 255 198 351 49
 235 256 198 425 61
 236 259 200 428 58
 237 260 200 533 56
 238 261 201 219 47
 239 262 201 255 41
 240 263 202 239 37
 241 264 202 332 51
 242 269 206 224 60
 243 270 206 384 56
 244 272 208 326 33
 245 273 208 342 48
 246 274 209 211 58
 247 275 209 334 61
 248 276 210 282 40
 249 277 210 353 54
 250 278 211 233 52
 251 279 211 333 55
 252 280 211 386 52
 253 281 212 305 55
 254 282 212 511 56
 255 283 213 333 59
 256 284 213 343 33
 257 285 213 415 35
 258 286 213 458 46
 259 287 213 473 32
 260 288 214 442 59
 261 289 214 533 55
 262 290 214 2249 46
 263 291 215 273 57
 264 292 215 279 58
 265 293 216 447 50
 266 294 216 1120 49
 267 297 218 219 46
 268 298 218 340 50
 269 299 219 227 39
 270 300 220 437 32
 271 301 220 510 52
 272 304 222 262 52
 273 305 222 361 51
 274 306 223 372 34
 275 307 223 613 42
 276 308 224 425 60
 277 309 225 510 53
 278 310 225 2218 46
 279 311 226 227 36
 280 312 226 348 51
 281 320 233 341 48
 282 325 236 384 45
 283 326 236 385 46
 284 327 237 373 61
 285 328 237 516 64
 286 329 238 361 50
 287 330 238 492 50
 288 331 239 284 49
 289 332 240 340 41
 290 333 240 401 34
 291 335 241 287 43
 292 336 241 503 45
 293 337 242 324 53
 294 338 242 440 54
 295 339 243 306 48
 296 340 243 309 53
 297 341 244 486 56
 298 342 244 520 56
 299 343 245 253 37
 300 344 245 254 56
 301 345 245 281 55
 302 346 245 299 49
 303 347 245 396 31
 304 349 246 304 55
 305 351 246 471 51
 306 353 248 474 53
 307 354 249 294 58
 308 355 249 474 56
 309 359 253 352 31
 310 360 254 338 56
 311 361 255 336 50
 312 362 255 369 55
 313 363 256 320 51
 314 364 257 363 46
 315 365 257 458 50
 316 366 258 265 60
 317 367 258 1753 62
 318 369 260 365 50
 319 370 260 493 51
 320 371 261 272 35
