 No., GenContingencyIndex, GenBusNumber, #ofPVtoPQ
 1 2 23 0
 2 5 31 0
 3 10 43 2
 4 12 46 0
 5 13 47 0
 6 14 52 0
 7 15 55 0
 8 16 59 1
 9 17 65 1
 10 19 71 0
 11 22 86 0
 12 24 90 0
 13 25 93 1
 14 40 151 0
 15 41 152 1
 16 44 159 2
 17 45 190 1
 18 49 222 0
 19 51 223 0
 20 52 223 0
 21 53 223 0
 22 55 224 0
 23 56 224 0
 24 57 233 0
 25 59 236 2
 26 60 246 0
 27 63 267 1
 28 65 272 1
 29 66 275 2
 30 67 281 2
 31 70 298 1
 32 73 307 1
 33 77 337 2
 34 79 345 1
 35 80 350 1
 36 82 353 1
 37 84 361 0
 38 105 416 0
 39 106 422 1
 40 107 428 1
 41 110 436 1
 42 111 437 0
 43 115 449 1
 44 116 469 1
 45 122 474 1
 46 123 480 0
 47 124 481 0
 48 125 482 0
 49 126 483 0
 50 127 487 0
 51 128 490 0
 52 129 494 0
 53 130 499 0
 54 132 549 0
 55 141 571 0
 56 145 578 0
 57 148 579 1
 58 152 587 0
 59 154 596 1
 60 159 620 0
 61 162 630 0
 62 163 633 0
 63 164 634 0
 64 167 645 0
 65 169 645 0
 66 171 648 2
 67 175 652 2
 68 178 667 0
 69 179 667 2
 70 180 674 2
 71 181 675 0
 72 183 684 0
 73 185 688 0
 74 187 690 2
 75 188 693 2
 76 197 738 1
 77 198 740 2
 78 200 747 1
 79 206 770 1
 80 208 789 1
 81 209 791 1
