 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 60 2
 2 2 1 93 2
 3 3 2 74 2
 4 4 2 549 2
 5 7 7 60 2
 6 8 7 73 2
 7 12 17 81 2
 8 13 17 93 2
 9 20 22 67 2
 10 21 22 73 2
 11 22 23 44 2
 12 23 23 137 2
 13 24 23 254 2
 14 30 31 66 2
 15 31 31 66 2
 16 35 36 38 2
 17 37 36 483 2
 18 42 41 46 2
 19 43 41 87 2
 20 44 44 67 2
 21 54 58 499 2
 22 61 79 87 2
 23 62 81 494 2
 24 64 95 96 1
 25 65 95 99 1
 26 66 96 748 2
 27 67 97 98 2
 28 68 97 100 1
 29 69 97 697 2
 30 70 98 749 2
 31 71 99 100 1
 32 72 99 102 2
 33 73 100 698 1
 34 74 101 102 2
 35 75 101 696 2
 36 76 102 747 2
 37 78 104 105 1
 38 79 104 170 1
 39 80 105 180 1
 40 81 106 107 2
 41 82 106 140 2
 42 83 107 203 2
 43 84 108 170 1
 44 85 108 684 1
 45 87 110 111 2
 46 88 110 140 2
 47 89 111 207 2
 48 96 115 175 1
 49 97 115 178 2
 50 98 115 192 2
 51 99 116 117 2
 52 101 116 153 1
 53 102 116 186 2
 54 103 116 195 2
 55 104 117 145 2
 56 105 117 168 2
 57 106 117 187 2
 58 108 119 122 2
 59 109 119 152 2
 60 110 120 144 2
 61 111 120 199 2
 62 112 121 122 2
 63 115 121 144 2
 64 116 121 162 2
 65 118 122 144 2
 66 121 127 128 2
 67 122 127 140 2
 68 123 128 182 2
 69 125 130 151 1
 70 126 130 174 1
 71 127 133 167 2
 72 128 133 757 2
 73 130 137 174 1
 74 132 139 151 1
 75 133 139 179 1
 76 134 140 190 2
 77 135 141 151 2
 78 136 141 158 2
 79 137 141 164 1
 80 138 141 205 1
 81 139 142 143 1
 82 140 142 211 1
 83 141 143 740 1
 84 142 144 192 2
 85 144 145 275 2
 86 149 149 176 2
 87 150 149 272 2
 88 151 151 189 2
 89 152 152 161 2
 90 153 152 186 2
 91 154 152 187 1
 92 155 153 154 1
 93 156 154 211 1
 94 157 155 156 2
 95 159 155 201 2
 96 161 156 172 1
 97 162 156 204 2
 98 163 156 206 2
 99 164 156 656 1
 100 166 158 190 2
 101 167 159 160 1
 102 168 159 386 1
 103 169 160 171 1
 104 170 161 162 2
 105 171 163 164 1
 106 172 163 171 1
 107 173 167 168 2
 108 175 171 172 1
 109 177 175 176 2
 110 179 178 199 2
 111 180 179 180 1
 112 181 181 182 2
 113 182 181 183 2
 114 183 183 188 2
 115 186 188 189 2
 116 188 190 444 2
 117 191 195 474 2
 118 193 200 201 2
 119 194 200 202 2
 120 195 202 203 2
 121 196 204 205 2
 122 197 206 207 2
 123 200 212 221 2
 124 202 214 215 2
 125 203 214 216 2
 126 204 214 219 1
 127 205 215 221 2
 128 207 216 217 2
 129 208 216 222 1
 130 209 216 364 2
 131 210 217 221 1
 132 212 218 219 1
 133 213 218 222 2
 134 214 220 223 2
 135 215 220 587 2
 136 216 221 230 2
 137 217 222 231 2
 138 218 223 224 1
 139 219 223 225 1
 140 220 223 235 2
 141 221 224 233 2
 142 223 225 232 2
 143 224 225 357 1
 144 228 230 231 2
 145 230 232 233 2
 146 231 235 591 2
 147 237 241 253 2
 148 238 241 442 1
 149 239 242 243 2
 150 240 242 244 2
 151 241 243 252 2
 152 244 247 251 2
 153 245 247 255 2
 154 248 251 252 2
 155 249 253 260 2
 156 250 253 443 2
 157 251 255 259 2
 158 252 256 258 2
 159 253 256 261 2
 160 254 258 259 2
 161 255 260 261 2
 162 258 266 275 1
 163 259 266 338 2
 164 261 269 300 2
 165 262 269 324 2
 166 263 270 285 2
 167 266 270 302 2
 168 268 272 348 1
 169 269 272 349 2
 170 270 273 285 2
 171 271 273 340 2
 172 272 275 349 2
 173 273 276 279 2
 174 274 276 321 2
 175 277 278 336 2
 176 278 278 344 2
 177 279 279 311 2
 178 283 282 336 2
 179 286 285 299 2
 180 287 285 302 2
 181 288 286 328 2
 182 289 286 351 2
 183 290 287 301 2
 184 291 287 340 2
 185 295 291 323 2
 186 296 291 353 2
 187 298 294 317 2
 188 299 295 338 2
 189 300 300 343 2
 190 301 300 353 2
 191 303 304 318 2
 192 304 304 777 2
 193 305 307 329 2
 194 309 311 315 2
 195 311 313 342 2
 196 312 313 791 2
 197 314 316 354 2
 198 315 317 324 2
 199 316 318 343 2
 200 319 321 344 2
 201 320 325 351 2
 202 321 327 354 2
 203 326 348 789 1
 204 327 353 428 2
 205 328 356 357 1
 206 329 356 369 1
 207 330 358 359 2
 208 331 358 361 2
 209 332 358 421 2
 210 333 359 365 2
 211 334 359 371 2
 212 336 361 642 2
 213 337 363 634 2
 214 338 365 366 2
 215 339 367 633 2
 216 340 368 369 1
 217 341 368 370 2
 218 342 370 371 2
 219 343 370 421 2
 220 344 372 391 1
 221 345 372 419 1
 222 346 373 374 2
 223 347 373 380 2
 224 348 373 383 1
 225 349 373 419 1
 226 350 374 393 2
 227 351 374 400 1
 228 352 375 391 2
 229 353 375 405 2
 230 354 376 418 2
 231 355 376 441 2
 232 360 380 417 2
 233 361 380 673 1
 234 362 382 383 2
 235 363 382 387 2
 236 364 382 412 2
 237 365 382 417 2
 238 366 383 386 1
 239 367 383 411 2
 240 368 384 385 1
 241 369 384 414 1
 242 370 385 420 1
 243 371 387 411 2
 244 372 389 393 2
 245 373 389 412 2
 246 374 390 403 2
 247 375 390 604 2
 248 376 391 392 2
 249 377 392 416 2
