 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 2 1 44 17
 2 3 1 421 18
 3 5 3 62 16
 4 6 3 479 20
 5 8 5 316 16
 6 9 5 401 16
 7 10 7 232 22
 8 11 7 262 22
 9 12 8 287 22
 10 13 8 457 22
 11 15 10 342 12
 12 16 10 349 12
 13 18 12 216 19
 14 19 12 304 14
 15 20 12 441 21
 16 21 14 386 22
 17 22 14 386 22
 18 23 15 91 22
 19 24 15 230 22
 20 25 15 367 22
 21 26 15 369 21
 22 27 15 473 21
 23 29 19 112 21
 24 30 19 193 20
 25 31 19 272 18
 26 33 21 112 18
 27 34 21 196 21
 28 35 23 151 18
 29 36 23 386 18
 30 37 23 464 23
 31 38 23 471 20
 32 41 24 210 22
 33 42 24 360 18
 34 44 27 68 18
 35 45 27 382 11
 36 47 29 454 21
 37 48 29 491 19
 38 50 31 85 21
 39 51 31 104 18
 40 52 31 189 20
 41 53 31 205 20
 42 54 31 218 20
 43 55 31 267 13
 44 57 33 83 20
 45 58 33 112 20
 46 60 35 191 19
 47 61 35 399 22
 48 63 37 76 17
 49 64 37 176 17
 50 65 39 332 22
 51 66 39 428 22
 52 68 40 131 21
 53 70 42 81 19
 54 71 42 191 19
 55 73 44 200 17
 56 75 46 156 22
 57 76 46 238 22
 58 79 48 358 20
 59 80 48 419 19
 60 82 53 233 21
 61 83 53 276 19
 62 85 55 66 19
 63 86 55 500 19
 64 87 57 123 22
 65 88 57 440 13
 66 90 58 253 13
 67 91 58 322 22
 68 92 58 322 22
 69 94 60 131 19
 70 95 60 466 19
 71 97 62 287 21
 72 98 62 457 22
 73 99 65 80 20
 74 100 65 297 21
 75 102 66 308 22
 76 104 68 295 21
 77 105 68 314 21
 78 106 70 216 16
 79 107 70 490 11
 80 109 74 189 19
 81 110 74 240 20
 82 112 76 452 17
 83 114 78 328 22
 84 115 78 387 22
 85 116 80 407 22
 86 117 81 149 22
 87 119 83 342 12
 88 121 85 272 22
 89 123 87 141 23
 90 124 87 143 22
 91 125 87 423 16
 92 127 89 187 18
 93 128 89 457 20
 94 130 91 133 21
 95 132 93 269 20
 96 133 93 336 21
 97 135 95 170 21
 98 136 95 369 21
 99 138 97 181 22
 100 139 97 358 21
 101 142 99 465 18
 102 143 99 472 21
 103 145 102 308 20
 104 146 102 419 18
 105 148 104 191 21
 106 150 106 191 18
 107 151 106 236 18
 108 153 108 472 17
 109 154 108 495 17
 110 156 110 274 22
 111 157 110 316 16
 112 159 112 193 22
 113 160 112 236 19
 114 161 112 283 21
 115 162 112 372 21
 116 163 112 499 5
 117 166 114 191 19
 118 167 114 312 20
 119 169 117 426 13
 120 170 117 490 13
 121 172 119 129 18
 122 173 119 253 18
 123 175 121 276 14
 124 176 121 287 18
 125 177 123 165 22
 126 178 124 260 20
 127 179 124 369 20
 128 181 129 304 15
 129 182 129 324 16
 130 184 131 333 20
 131 186 133 226 21
 132 187 133 369 21
 133 188 133 473 21
 134 190 135 287 19
 135 191 135 457 20
 136 193 137 214 10
 137 194 137 426 22
 138 195 137 426 22
 139 197 139 376 18
 140 198 139 429 18
 141 200 141 300 21
 142 201 143 338 22
 143 202 143 401 24
 144 203 143 452 19
 145 204 143 496 22
 146 205 146 162 20
 147 206 146 195 20
 148 208 147 475 21
 149 210 149 293 16
 150 211 149 489 20
 151 212 151 428 20
 152 214 152 238 23
 153 216 154 429 22
 154 217 154 488 22
 155 219 156 488 22
 156 221 158 233 19
 157 222 158 291 19
 158 224 160 212 19
 159 225 160 399 19
 160 226 162 195 20
 161 227 162 220 23
 162 228 162 232 22
 163 230 163 200 17
 164 231 165 386 22
 165 232 166 228 23
 166 233 166 260 20
 167 234 166 289 21
 168 236 170 226 21
 169 239 172 202 14
 170 240 172 244 13
 171 241 175 220 22
 172 244 176 318 22
 173 246 179 291 19
 174 247 179 345 19
 175 248 179 374 19
 176 250 181 487 22
 177 252 183 247 17
 178 253 183 274 20
 179 255 185 445 22
 180 256 185 467 22
 181 258 187 454 20
 182 261 191 205 20
 183 262 191 293 19
 184 264 195 371 22
 185 269 202 380 15
 186 272 205 312 20
 187 274 208 322 23
 188 275 208 356 13
 189 277 210 488 20
 190 279 212 399 19
 191 280 212 408 22
 192 282 214 403 17
 193 285 218 399 19
 194 286 220 471 24
 195 287 221 447 19
 196 288 221 478 9
 197 289 221 493 15
 198 292 228 468 20
 199 293 228 474 23
 200 294 230 285 22
 201 295 232 262 14
 202 296 232 371 22
 203 297 232 453 22
 204 299 233 486 19
 205 300 235 271 21
 206 301 235 407 21
 207 303 236 283 19
 208 306 240 272 22
 209 308 242 287 20
 210 309 242 320 17
 211 311 244 426 14
 212 312 246 332 23
 213 313 246 428 23
 214 314 246 471 23
 215 316 251 360 16
 216 317 251 417 13
 217 319 253 347 11
 218 320 253 417 17
 219 323 263 276 22
 220 324 263 326 22
 221 325 263 476 16
 222 326 263 491 20
 223 328 267 312 21
 224 330 269 475 21
 225 334 276 320 24
 226 335 276 485 19
 227 337 279 340 19
 228 338 279 468 18
 229 340 281 310 22
 230 341 281 328 22
 231 342 281 384 17
 232 345 285 487 22
 233 347 287 415 18
 234 348 287 476 19
 235 350 289 468 21
 236 354 295 314 21
 237 355 295 447 18
 238 356 295 477 17
 239 357 297 425 22
 240 358 297 440 18
 241 360 298 426 22
 242 362 300 405 18
 243 363 300 478 13
 244 366 308 500 20
 245 368 310 358 19
 246 370 312 399 21
 247 373 318 336 21
 248 374 318 378 21
 249 377 322 324 18
 250 380 326 491 19
 251 383 330 333 22
 252 384 330 449 21
 253 385 332 471 22
 254 389 336 378 20
 255 390 336 492 19
 256 392 338 459 21
 257 394 340 460 16
 258 398 345 415 18
 259 400 347 417 18
 260 401 349 403 17
 261 403 354 421 20
 262 404 354 479 20
 263 406 356 382 9
 264 409 360 417 16
 265 411 365 374 17
 266 412 365 454 21
 267 414 367 461 22
 268 415 367 468 21
 269 420 376 429 18
 270 421 376 460 16
 271 422 376 469 20
 272 423 376 495 17
 273 426 380 493 15
 274 429 384 441 18
 275 430 386 440 24
 276 433 387 467 21
 277 434 387 470 21
 278 436 399 408 22
 279 440 405 492 18
 280 443 417 468 23
 281 444 417 469 13
 282 445 417 474 5
 283 449 423 496 20
 284 451 429 466 19
 285 453 445 461 17
 286 457 449 495 21
 287 458 454 485 22
 288 459 459 496 16
 289 460 462 465 18
 290 461 462 477 18
 291 462 464 471 22
 292 463 467 470 21
 293 464 476 486 17
 294 465 485 499 20
 295 466 489 500 20
 296 467 8 7 24
 297 468 9 7 22
 298 469 9 7 22
 299 470 15 14 24
 300 472 17 14 22
 301 473 17 14 22
 302 475 24 23 23
 303 476 40 39 22
 304 479 58 57 22
 305 480 58 57 22
 306 482 66 65 21
 307 486 81 80 22
 308 488 124 123 20
 309 493 144 143 22
 310 494 144 143 22
 311 495 145 143 22
 312 496 145 143 22
 313 497 147 146 16
 314 498 152 151 24
 315 499 163 162 19
 316 500 163 162 19
 317 501 166 165 23
 318 505 176 175 16
 319 506 196 195 21
 320 509 221 220 22
 321 512 224 220 22
 322 513 224 220 22
 323 514 225 220 22
 324 515 225 220 22
