 No., BrcContingencyIndex, fbusCont, tbusCont, Brc_Vio, fbusVio, tbusVio, Sfrm, Sto, Sdiff, RateA, RateB, RateC
 1 191 195 474 438 453 469 144.49356 144.77939 7.7793837 137.0 137.0 137.0
 2 311 313 342 304 304 777 107.56855 107.97856 9.378558 83.7 98.6 98.6
 3 312 313 791 304 304 777 145.58487 146.50221 47.90221 83.7 98.6 98.6
 4 312 313 791 754 771 778 159.50342 158.18382 16.133415 110.28 143.37 143.37
 5 327 353 428 403 426 470 134.48984 134.91287 23.102879 96.9 111.81 111.81
 6 327 353 428 404 427 432 138.49538 138.29288 17.545378 104.82 120.95 120.95
 7 327 353 428 407 428 452 220.9685 220.19513 19.428516 174.67 201.54 201.54
 8 327 353 428 411 431 434 142.17505 142.41957 12.789572 112.35 129.63 129.63
 9 327 353 428 414 433 452 215.33229 216.58528 24.315273 166.64 192.27 192.27
 10 378 395 416 376 391 392 252.25394 251.79439 40.753937 183.3 211.5 211.5
 11 378 395 416 377 392 416 256.76532 270.78928 50.709297 190.73 220.08 220.08
 12 379 395 420 376 391 392 246.69453 246.23778 35.194542 183.3 211.5 211.5
 13 379 395 420 377 392 416 251.30847 264.48642 44.406437 190.73 220.08 220.08
 14 418 436 460 101 116 153 103.26097 103.11172 28.260971 75.0 75.0 75.0
 15 418 436 460 140 142 211 97.27294 97.33967 22.339666 75.0 75.0 75.0
 16 418 436 460 156 154 211 97.62201 97.60032 22.622007 75.0 75.0 75.0
 17 418 436 460 692 714 746 80.41104 80.11241 5.411041 75.0 75.0 75.0
 18 418 436 460 704 723 746 79.72169 79.77645 4.7764482 75.0 75.0 75.0
 19 447 460 738 101 116 153 98.33395 98.196594 23.333948 75.0 75.0 75.0
 20 447 460 738 140 142 211 92.305664 92.36931 17.369312 75.0 75.0 75.0
 21 447 460 738 156 154 211 92.71116 92.68988 17.711157 75.0 75.0 75.0
 22 447 460 738 692 714 746 75.74933 75.471825 0.74932575 75.0 75.0 75.0
 23 447 460 738 704 723 746 75.04286 75.095024 0.095021725 75.0 75.0 75.0
 24 448 461 462 438 453 469 139.06271 139.32858 2.3285866 137.0 137.0 137.0
 25 449 461 469 438 453 469 142.86725 143.14742 6.1474085 137.0 137.0 137.0
 26 656 677 688 639 659 660 252.25903 252.12238 53.239037 172.48 199.02 199.02
 27 656 677 688 640 659 688 252.26123 252.84874 53.628742 172.65 199.22 199.22
 28 656 677 688 641 660 694 252.11043 253.04608 54.08608 172.43 198.96 198.96
 29 702 721 738 101 116 153 99.709335 99.57448 24.709332 75.0 75.0 75.0
 30 702 721 738 140 142 211 93.74587 93.80642 18.806421 75.0 75.0 75.0
 31 702 721 738 156 154 211 94.11649 94.09552 19.116491 75.0 75.0 75.0
 32 702 721 738 692 714 746 80.7921 80.284134 5.792099 75.0 75.0 75.0
 33 702 721 738 704 723 746 79.80429 79.90198 4.9019814 75.0 75.0 75.0
 34 815 246 224 240 242 244 330.28384 342.59393 41.533924 250.89 301.06 301.06
 35 815 246 224 241 243 252 308.43597 309.20932 101.20933 208.0 208.0 208.0
 36 815 246 224 244 247 251 295.21866 290.65482 87.218666 208.0 208.0 208.0
