 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 16 38
 2 2 2 17 46
 3 3 3 10 49
 4 4 4 7 48
 5 5 4 11 48
 6 6 4 14 25
 7 7 4 16 41
 8 8 4 22 40
 9 9 5 7 54
 10 10 5 10 45
 11 11 6 8 39
 12 12 6 9 47
 13 13 6 15 46
 14 14 6 31 39
 15 15 7 12 34
 16 16 7 13 45
 17 17 7 19 50
 18 18 7 21 55
 19 19 7 29 44
 20 20 8 18 39
 21 21 10 171 55
 22 22 11 16 44
 23 23 11 17 36
 24 24 11 111 22
 25 25 12 140 55
 26 26 13 29 45
 27 27 14 17 29
 28 28 15 18 45
 29 29 15 165 61
 30 30 16 73 56
 31 31 17 74 55
 32 32 18 20 52
 33 33 18 75 33
 34 34 18 76 36
 35 35 18 101 45
 36 36 19 124 54
 37 37 20 67 42
 38 38 22 112 57
 39 39 23 37 56
 40 40 23 46 49
 41 41 23 53 41
 42 42 24 54 50
 43 43 25 41 41
 44 44 25 53 51
 45 45 25 54 49
 46 46 26 38 44
 47 47 27 28 47
 48 48 27 33 41
 49 49 27 48 29
 50 50 27 74 30
 51 51 28 47 39
 52 52 28 88 25
 53 53 29 30 68
 54 54 29 45 50
 55 55 29 48 40
 56 56 30 46 54
 57 57 30 49 30
 58 58 31 32 46
 59 59 31 39 37
 60 60 32 36 51
 61 61 34 35 43
 62 62 34 51 43
 63 63 34 183 40
 64 64 35 183 40
 65 65 37 38 44
 66 66 38 55 47
 67 67 39 40 30
 68 68 40 44 42
 69 69 41 42 58
 70 70 41 80 53
 71 71 42 47 46
 72 72 42 54 43
 73 73 43 44 35
 74 74 43 99 43
 75 75 44 50 48
 76 76 45 46 45
 77 77 45 49 30
 78 78 48 49 49
 79 79 50 51 51
 80 80 50 98 39
 81 81 50 100 41
 82 82 52 53 49
 83 84 56 74 37
 84 87 59 63 63
 85 88 59 82 33
 86 89 60 85 36
 87 90 60 104 47
 88 91 61 62 47
 89 92 61 64 51
 90 94 61 184 45
 91 95 62 82 56
 92 97 63 71 41
 93 98 63 91 49
 94 99 63 94 51
 95 100 63 96 54
 96 101 64 69 44
 97 102 64 79 45
 98 103 64 93 47
 99 104 64 95 47
 100 105 65 90 43
 101 106 65 91 39
 102 107 66 68 40
 103 108 66 152 37
 104 109 67 138 40
 105 110 68 78 45
 106 111 69 83 44
 107 112 70 73 49
 108 113 70 107 51
 109 115 71 86 45
 110 116 73 87 41
 111 117 74 108 52
 112 118 75 76 35
 113 119 76 105 42
 114 120 77 84 43
 115 121 77 85 45
 116 122 78 103 34
 117 123 79 88 45
 118 124 80 81 52
 119 125 80 96 46
 120 126 81 93 45
 121 127 83 84 51
 122 128 83 103 39
 123 129 84 184 46
 124 130 85 86 40
 125 131 86 108 54
 126 132 87 88 46
 127 133 87 94 45
 128 134 89 94 55
 129 135 89 102 41
 130 136 90 104 32
 131 137 92 100 54
 132 138 92 106 40
 133 139 93 94 52
 134 140 95 96 44
 135 141 95 102 54
 136 142 98 99 52
 137 143 99 101 42
 138 144 100 101 53
 139 145 103 104 45
 140 146 105 106 43
 141 149 107 108 46
 142 150 111 112 55
 143 151 111 123 38
 144 152 111 124 41
 145 153 113 114 50
 146 154 113 151 47
 147 155 114 131 52
 148 156 115 116 44
 149 157 115 133 51
 150 158 116 138 33
 151 159 117 140 41
 152 160 117 143 44
 153 162 118 126 52
 154 163 118 142 32
 155 164 120 125 42
 156 165 120 130 47
 157 167 121 151 48
 158 168 123 124 35
 159 169 123 140 31
 160 170 123 144 43
 161 171 124 139 31
 162 172 125 126 49
 163 173 125 135 43
 164 174 125 186 34
 165 175 126 186 33
 166 176 127 128 49
 167 177 127 157 35
 168 178 128 145 51
 169 179 129 143 46
 170 180 129 148 50
 171 181 130 132 52
 172 182 130 154 46
 173 183 131 132 51
 174 184 131 147 44
 175 185 131 151 52
 176 186 132 148 45
 177 187 132 150 54
 178 188 133 134 42
 179 189 133 182 33
 180 190 134 182 30
 181 192 135 142 35
 182 194 139 140 48
 183 195 139 166 44
 184 196 139 174 47
 185 197 140 167 45
 186 198 141 144 46
 187 199 141 178 51
 188 200 143 144 36
 189 201 143 149 51
 190 202 144 147 41
 191 204 147 148 50
 192 205 147 154 48
 193 206 150 151 45
 194 207 150 152 36
 195 209 155 166 62
 196 210 156 179 51
 197 211 157 158 53
 198 212 158 176 48
 199 213 159 160 45
 200 214 159 165 58
 201 215 159 176 49
 202 216 160 168 57
 203 217 160 177 47
 204 218 161 162 54
 205 219 161 166 43
 206 220 162 179 51
 207 221 163 164 45
 208 222 163 172 62
 209 223 164 167 51
 210 224 166 167 46
 211 225 168 169 52
 212 226 170 171 56
 213 227 170 174 40
 214 228 172 173 50
 215 229 173 175 49
 216 230 174 175 47
 217 231 176 177 42
 218 232 178 179 49
 219 233 187 202 56
 220 234 187 423 56
 221 235 188 434 31
 222 236 188 437 32
 223 239 190 355 60
 224 240 190 376 57
 225 243 192 193 51
 226 244 192 194 52
 227 245 192 308 48
 228 247 193 332 47
 229 248 194 248 56
 230 249 194 256 58
 231 250 194 332 53
 232 251 195 285 65
 233 252 195 514 67
 234 255 198 351 53
 235 256 198 425 56
 236 259 200 428 59
 237 260 200 533 60
 238 261 201 219 44
 239 262 201 255 46
 240 263 202 239 35
 241 264 202 332 51
