 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 1 1 1 16 27
 2 2 2 17 29
 3 3 3 10 26
 4 4 4 7 39
 5 5 4 11 31
 6 6 4 14 15
 7 7 4 16 22
 8 8 4 22 18
 9 9 5 7 37
 10 10 5 10 30
 11 11 6 8 30
 12 12 6 9 30
 13 13 6 15 25
 14 14 6 31 32
 15 15 7 12 23
 16 16 7 13 29
 17 17 7 19 26
 18 18 7 21 43
 19 19 7 29 35
 20 20 8 18 30
 21 21 10 171 31
 22 22 11 16 23
 23 23 11 17 21
 24 24 11 111 22
 25 25 12 140 39
 26 26 13 29 36
 27 27 14 17 19
 28 28 15 18 27
 29 29 15 165 31
 30 30 16 73 32
 31 31 17 74 40
 32 32 18 20 31
 33 33 18 75 23
 34 34 18 76 22
 35 35 18 101 28
 36 36 19 124 40
 37 37 20 67 36
 38 38 22 112 36
 39 39 23 37 36
 40 40 23 46 24
 41 41 23 53 42
 42 42 24 54 32
 43 43 25 41 23
 44 44 25 53 38
 45 45 25 54 37
 46 46 26 38 37
 47 47 27 28 23
 48 48 27 33 28
 49 49 27 48 23
 50 50 27 74 24
 51 51 28 47 23
 52 52 28 88 24
 53 53 29 30 46
 54 54 29 45 31
 55 55 29 48 32
 56 56 30 46 31
 57 57 30 49 23
 58 58 31 32 40
 59 59 31 39 22
 60 60 32 36 43
 61 61 34 35 24
 62 62 34 51 38
 63 63 34 183 31
 64 64 35 183 29
 65 65 37 38 37
 66 66 38 55 36
 67 67 39 40 25
 68 68 40 44 32
 69 69 41 42 41
 70 70 41 80 23
 71 71 42 47 33
 72 72 42 54 26
 73 73 43 44 24
 74 74 43 99 31
 75 75 44 50 31
 76 76 45 46 37
 77 77 45 49 23
 78 78 48 49 22
 79 79 50 51 41
 80 80 50 98 35
 81 81 50 100 31
 82 82 52 53 38
 83 84 56 74 22
 84 87 59 63 35
 85 88 59 82 24
 86 89 60 85 23
 87 90 60 104 28
 88 91 61 62 34
 89 92 61 64 33
 90 94 61 184 28
 91 95 62 82 38
 92 97 63 71 26
 93 98 63 91 33
 94 99 63 94 36
 95 100 63 96 28
 96 101 64 69 29
 97 102 64 79 31
 98 103 64 93 26
 99 104 64 95 36
 100 105 65 90 19
 101 106 65 91 18
 102 107 66 68 30
 103 108 66 152 20
 104 109 67 138 20
 105 110 68 78 32
 106 111 69 83 25
 107 112 70 73 35
 108 113 70 107 39
 109 115 71 86 23
 110 116 73 87 32
 111 117 74 108 42
 112 118 75 76 24
 113 119 76 105 25
 114 120 77 84 31
 115 121 77 85 30
 116 122 78 103 24
 117 123 79 88 30
 118 124 80 81 23
 119 125 80 96 35
 120 126 81 93 27
 121 127 83 84 21
 122 128 83 103 30
 123 129 84 184 33
 124 130 85 86 29
 125 131 86 108 36
 126 132 87 88 25
 127 133 87 94 33
 128 134 89 94 33
 129 135 89 102 19
 130 136 90 104 29
 131 137 92 100 32
 132 138 92 106 32
 133 139 93 94 31
 134 140 95 96 32
 135 141 95 102 40
 136 142 98 99 38
 137 143 99 101 29
 138 144 100 101 36
 139 145 103 104 40
 140 146 105 106 29
 141 149 107 108 31
 142 150 111 112 34
 143 151 111 123 25
 144 152 111 124 25
 145 153 113 114 35
 146 154 113 151 28
 147 155 114 131 34
 148 156 115 116 35
 149 157 115 133 27
 150 158 116 138 22
 151 159 117 140 16
 152 160 117 143 29
 153 162 118 126 27
 154 163 118 142 21
 155 164 120 125 25
 156 165 120 130 17
 157 167 121 151 31
 158 168 123 124 25
 159 169 123 140 25
 160 170 123 144 14
 161 171 124 139 24
 162 172 125 126 39
 163 173 125 135 21
 164 174 125 186 24
 165 175 126 186 24
 166 176 127 128 25
 167 177 127 157 29
 168 178 128 145 27
 169 179 129 143 29
 170 180 129 148 30
 171 181 130 132 29
 172 182 130 154 26
 173 183 131 132 29
 174 184 131 147 26
 175 185 131 151 34
 176 186 132 148 24
 177 187 132 150 34
 178 188 133 134 30
 179 189 133 182 22
 180 190 134 182 22
 181 192 135 142 22
 182 194 139 140 26
 183 195 139 166 24
 184 196 139 174 33
 185 197 140 167 28
