 No., BrcContingencyIndex, fbusCont, tbusCont, Brc_Vio, fbusVio, tbusVio, Sfrm, Sto, Sdiff, RateA, RateB, RateC
 1 14 6 31 2761 29 32 483.944 506.31256 46.31257 400.0 430.0 460.0
 2 109 67 138 108 66 152 451.95187 428.7466 37.951897 360.0 387.0 414.0
 3 109 67 138 159 117 140 322.92587 332.8405 22.340511 270.0 290.25 310.5
 4 109 67 138 1939 1644 1761 100.22961 103.62028 0.12028217 90.0 96.75 103.5
 5 109 67 138 2867 2090 152 171.58159 171.53952 4.8315883 145.0 155.88 166.75
 6 159 117 140 1939 1644 1761 104.45207 108.075096 4.5750976 90.0 96.75 103.5
 7 170 123 144 159 117 140 342.79202 352.09106 41.59105 270.0 290.25 310.5
 8 170 123 144 1939 1644 1761 103.15939 106.69042 3.190422 90.0 96.75 103.5
 9 418 294 346 492 344 346 105.904495 106.50179 3.0017972 90.0 96.75 103.5
 10 2019 1682 1683 1939 1644 1761 103.833855 107.382835 3.8828373 90.0 96.75 103.5
 11 2020 1682 2029 1939 1644 1761 107.078896 110.82378 7.3237777 90.0 96.75 103.5
 12 2270 1882 2333 2269 1882 2273 106.77647 98.22593 2.1264672 91.0 97.82 104.65
 13 2271 1883 2064 1939 1644 1761 108.145294 111.955284 8.455288 90.0 96.75 103.5
 14 2389 2029 2064 1939 1644 1761 108.14843 111.95954 8.459544 90.0 96.75 103.5
 15 2579 2197 2274 2269 1882 2273 107.08283 98.29652 2.432835 91.0 97.82 104.65
 16 2811 1384 92 2783 836 60 116.317345 118.078575 3.07858 100.0 107.5 115.0
 17 2811 1384 92 2797 1106 78 191.8327 196.87251 12.872505 160.0 172.0 184.0
