Each row corresponds to a contingency
LODF matrix: nbrc * nbrc
38*38,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6,branch_7,branch_8,branch_9,branch_10,branch_11,branch_12,branch_13,branch_14,branch_15,branch_16,branch_17,branch_18,branch_19,branch_20,branch_21,branch_22,branch_23,branch_24,branch_25,branch_26,branch_27,branch_28,branch_29,branch_30,branch_31,branch_32,branch_33,branch_34,branch_35,branch_36,branch_37,branch_38,
Ctgcy-branch_1,-1.000000,0.394636,0.605364,-0.499804,-0.500196,0.273569,0.121066,-0.499804,0.605364,-0.500196,0.000000,0.033621,-0.033621,-0.099735,-0.092879,0.032346,0.039202,-0.007597,-0.059792,-0.019594,-0.034083,-0.027191,-0.059792,0.098413,0.011326,0.011326,-0.121066,-0.022653,0.061274,-0.019595,-0.003058,-0.009797,-0.009797,0.030637,0.030637,0.030637,0.030637,0.003058,
Ctgcy-branch_2,0.610694,-1.000000,0.389306,0.378283,0.232412,-0.610349,-0.389651,0.378283,0.389306,0.232412,-0.000000,0.086616,-0.086616,-0.061693,-0.083758,0.278583,0.256518,0.024450,0.192441,0.063063,0.109697,0.087513,0.192441,-0.316743,-0.036454,-0.036454,0.389651,0.072908,-0.197210,0.063066,0.009843,0.031533,0.031533,-0.098605,-0.098605,-0.098605,-0.098605,-0.009843,
Ctgcy-branch_3,0.706428,0.293572,-1.000000,0.297986,0.408443,0.141017,0.152554,0.297986,-1.000000,0.408443,0.000000,-0.104550,0.104550,0.162907,0.171546,-0.247823,-0.239184,-0.009572,-0.075344,-0.024690,-0.042948,-0.034263,-0.075344,0.124010,0.014272,0.014272,-0.152554,-0.028545,0.077211,-0.024691,-0.003854,-0.012346,-0.012346,0.038605,0.038605,0.038605,0.038605,0.003854,
Ctgcy-branch_4,-0.711899,0.348183,0.363716,-1.000000,0.288101,0.293526,0.054657,-1.000000,0.363716,0.288101,0.000000,0.137798,-0.137798,-0.285886,-0.282791,0.255462,0.258557,-0.003430,-0.026994,-0.008846,-0.015388,-0.012276,-0.026994,0.044430,0.005114,0.005114,-0.054657,-0.010227,0.027663,-0.008846,-0.001381,-0.004423,-0.004423,0.013832,0.013832,0.013832,0.013832,0.001381,
Ctgcy-branch_5,-0.712060,0.213799,0.498260,0.287940,-1.000000,0.096081,0.117718,0.287940,0.498260,-1.000000,0.000000,-0.089860,0.089860,0.143748,0.150414,-0.209273,-0.202607,-0.007387,-0.058139,-0.019052,-0.033141,-0.026439,-0.058139,0.095692,0.011013,0.011013,-0.117718,-0.022026,0.059580,-0.019053,-0.002974,-0.009526,-0.009526,0.029790,0.029790,0.029790,0.029790,0.002974,
Ctgcy-branch_6,0.294285,-0.424279,0.129994,0.221681,0.072604,-1.000000,0.575721,0.221681,0.129994,0.072604,0.000000,0.099513,-0.099513,-0.355704,-0.323102,0.035242,0.067843,-0.036125,-0.284337,-0.093178,-0.162081,-0.129303,-0.284337,0.467997,0.053862,0.053862,-0.575721,-0.107724,0.291384,-0.093181,-0.014543,-0.046591,-0.046591,0.145692,0.145692,0.145692,0.145692,0.014543,
Ctgcy-branch_7,0.153835,-0.319948,0.166113,0.048760,0.105075,0.680052,-1.000000,0.048760,0.166113,0.105075,-0.000000,-0.046426,0.046426,0.369507,0.312879,0.187121,0.130493,0.062747,0.493880,0.161845,0.281527,0.224593,0.493880,-0.812889,-0.093556,-0.093556,1.000000,0.187111,-0.506120,0.161851,0.025260,0.080926,0.080926,-0.253060,-0.253060,-0.253060,-0.253060,-0.025260,
Ctgcy-branch_8,-0.711899,0.348183,0.363716,-1.000000,0.288101,0.293526,0.054657,-1.000000,0.363716,0.288101,0.000000,0.137798,-0.137798,-0.285886,-0.282791,0.255462,0.258557,-0.003430,-0.026994,-0.008846,-0.015388,-0.012276,-0.026994,0.044430,0.005114,0.005114,-0.054657,-0.010227,0.027663,-0.008846,-0.001381,-0.004423,-0.004423,0.013832,0.013832,0.013832,0.013832,0.001381,
Ctgcy-branch_9,0.706428,0.293572,-1.000000,0.297986,0.408443,0.141017,0.152554,0.297986,-1.000000,0.408443,0.000000,-0.104550,0.104550,0.162907,0.171546,-0.247823,-0.239184,-0.009572,-0.075344,-0.024690,-0.042948,-0.034263,-0.075344,0.124010,0.014272,0.014272,-0.152554,-0.028545,0.077211,-0.024691,-0.003854,-0.012346,-0.012346,0.038605,0.038605,0.038605,0.038605,0.003854,
Ctgcy-branch_10,-0.712060,0.213799,0.498260,0.287940,-1.000000,0.096081,0.117718,0.287940,0.498260,-1.000000,0.000000,-0.089860,0.089860,0.143748,0.150414,-0.209273,-0.202607,-0.007387,-0.058139,-0.019052,-0.033141,-0.026439,-0.058139,0.095692,0.011013,0.011013,-0.117718,-0.022026,0.059580,-0.019053,-0.002974,-0.009526,-0.009526,0.029790,0.029790,0.029790,0.029790,0.002974,
