The reference bus is: bus_7
PTDF matrix: nbrc * nbus
38*24,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,
branch_1,0.449594,-0.493327,0.110109,-0.234538,0.239808,-0.101781,0.000000,-0.000000,-0.022617,0.022617,0.011539,0.009191,0.013026,0.021778,0.042981,0.036160,0.038562,0.039680,0.030415,0.025418,0.040719,0.039871,0.022670,0.068648,
branch_2,0.215092,0.192567,-0.229007,0.065996,0.127911,0.075004,0.000000,0.000000,-0.037653,0.037653,-0.024000,-0.019116,-0.027092,-0.045294,-0.089393,-0.075207,-0.080201,-0.082527,-0.063257,-0.052866,-0.084687,-0.082924,-0.047150,-0.142775,
branch_3,0.335313,0.300760,0.118898,0.168542,-0.367719,0.026777,0.000000,-0.000000,0.060269,-0.060269,0.012460,0.009925,0.014066,0.023516,0.046412,0.039047,0.041640,0.042847,0.032842,0.027447,0.043969,0.043053,0.024480,0.074127,
branch_4,0.245188,0.273716,0.034900,-0.362765,0.156696,0.115384,0.000000,-0.000000,-0.065080,0.065080,0.003658,0.002913,0.004129,0.006903,0.013623,0.011461,0.012223,0.012577,0.009640,0.008057,0.012906,0.012638,0.007186,0.021759,
branch_5,0.204407,0.232957,0.075209,0.128227,0.083112,-0.217164,0.000000,-0.000000,0.042463,-0.042463,0.007882,0.006278,0.008897,0.014875,0.029358,0.024699,0.026339,0.027103,0.020774,0.017362,0.027812,0.027233,0.015485,0.046889,
branch_6,0.147464,0.131849,0.486757,0.025147,0.105587,0.079016,0.000000,-0.000000,-0.062231,0.062231,0.051011,0.040632,0.057583,0.096272,0.190006,0.159853,0.170468,0.175413,0.134453,0.112366,0.180004,0.176256,0.100218,0.303470,
branch_7,0.067628,0.060718,0.284235,0.040849,0.022324,-0.004013,0.000000,0.000000,0.024578,-0.024578,-0.075011,-0.059749,-0.084675,-0.141566,-0.279400,-0.235060,-0.250670,-0.257940,-0.197710,-0.165232,-0.264691,-0.259180,-0.147369,-0.446245,
branch_8,0.245188,0.273716,0.034900,0.637235,0.156696,0.115384,0.000000,0.000000,-0.065080,0.065080,0.003658,0.002913,0.004129,0.006903,0.013623,0.011461,0.012223,0.012577,0.009640,0.008057,0.012906,0.012638,0.007186,0.021759,
branch_9,0.335313,0.300760,0.118898,0.168542,0.632281,0.026777,0.000000,-0.000000,0.060269,-0.060269,0.012460,0.009925,0.014066,0.023516,0.046412,0.039047,0.041640,0.042847,0.032842,0.027447,0.043969,0.043053,0.024480,0.074127,
branch_10,0.204407,0.232957,0.075209,0.128227,0.083112,0.782836,0.000000,0.000000,0.042463,-0.042463,0.007882,0.006278,0.008897,0.014875,0.029358,0.024699,0.026339,0.027103,0.020774,0.017362,0.027812,0.027233,0.015485,0.046889,
branch_11,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,
branch_12,-0.485080,-0.486999,-0.533230,-0.537091,-0.454032,-0.437587,0.000000,0.000000,-0.578111,-0.421889,-0.503482,-0.502774,-0.503931,-0.506572,-0.512971,-0.510913,-0.511637,-0.511975,-0.509179,-0.507671,-0.512288,-0.512033,-0.506842,-0.520717,
branch_13,-0.514920,-0.513001,-0.466770,-0.462909,-0.545968,-0.562413,0.000000,0.000000,-0.421889,-0.578111,-0.496518,-0.497226,-0.496069,-0.493428,-0.487029,-0.489087,-0.488363,-0.488025,-0.490821,-0.492329,-0.487712,-0.487967,-0.493158,-0.479283,
branch_14,-0.048129,-0.042436,-0.013834,0.061489,-0.096507,-0.121480,0.000000,0.000000,0.146593,-0.146593,-0.335157,-0.115048,-0.215059,-0.275401,-0.175074,-0.191457,-0.185690,-0.183003,-0.186002,-0.181258,-0.180509,-0.182545,-0.178649,-0.113423,
branch_15,-0.044299,-0.038998,0.002262,0.063802,-0.095243,-0.121707,0.000000,0.000000,0.147985,-0.147985,-0.113656,-0.344180,-0.227160,-0.127996,-0.134268,-0.148141,-0.143257,-0.140982,-0.179083,-0.205990,-0.138870,-0.140594,-0.220788,-0.082065,
branch_16,0.010485,0.008639,-0.144379,-0.084227,0.084081,0.123714,0.000000,0.000000,-0.160274,0.160274,-0.348838,-0.125945,-0.230502,-0.301221,-0.226032,-0.234329,-0.231408,-0.230048,-0.222062,-0.211394,-0.228785,-0.229816,-0.205527,-0.194812,
branch_17,0.014315,0.012077,-0.128284,-0.081913,0.085345,0.123486,0.000000,0.000000,-0.158882,0.158882,-0.127337,-0.355078,-0.242604,-0.153816,-0.185226,-0.191013,-0.188976,-0.188027,-0.215143,-0.236126,-0.187146,-0.187865,-0.247666,-0.163454,
branch_18,-0.004243,-0.003810,-0.017835,-0.002563,-0.001401,0.000252,0.000000,0.000000,-0.001542,0.001542,0.208630,-0.200175,-0.430973,0.101914,-0.045216,-0.047998,-0.047018,-0.046562,-0.111069,-0.165913,-0.046139,-0.046484,-0.196077,-0.034747,
branch_19,-0.033400,-0.029987,-0.140378,-0.020175,-0.011026,0.001982,0.000000,0.000000,-0.012139,0.012139,0.107374,-0.040819,-0.014588,-0.678535,-0.355890,-0.377789,-0.370079,-0.366489,-0.296995,-0.226740,-0.363155,-0.365876,-0.188100,-0.273489,
branch_20,-0.010945,-0.009827,-0.046002,-0.006611,-0.003613,0.000649,0.000000,0.000000,-0.003978,0.003978,-0.178997,0.200807,-0.409795,-0.156044,-0.116626,-0.123802,-0.121276,-0.120099,-0.123177,-0.122633,-0.119006,-0.119898,-0.122334,-0.089623,
branch_21,-0.019039,-0.017094,-0.080020,-0.011500,-0.006285,0.001130,0.000000,0.000000,-0.006919,0.006919,-0.061997,0.099935,-0.059969,-0.125768,-0.202869,-0.215351,-0.210957,-0.208910,-0.271049,-0.319483,-0.207009,-0.208561,-0.346121,-0.155897,
branch_22,-0.015189,-0.013637,-0.063837,-0.009174,-0.005014,0.000901,0.000000,0.000000,-0.005520,0.005520,0.029634,0.000632,0.159232,-0.054131,-0.161841,-0.171800,-0.168294,-0.166661,-0.234245,-0.288545,-0.165145,-0.166383,-0.318410,-0.124369,
branch_23,-0.033400,-0.029987,-0.140378,-0.020175,-0.011026,0.001982,0.000000,0.000000,-0.012139,0.012139,0.107374,-0.040819,-0.014588,0.321465,-0.355890,-0.377789,-0.370079,-0.366489,-0.296995,-0.226740,-0.363155,-0.365876,-0.188100,-0.273489,
branch_24,0.054974,0.049357,0.231052,0.033206,0.018147,-0.003262,0.000000,-0.000000,0.019979,-0.019979,-0.060976,-0.048569,-0.068831,-0.115078,0.585768,-0.191078,0.082404,0.209783,-0.160716,-0.134315,0.328064,0.231504,-0.119794,0.450141,
branch_25,0.006327,0.005681,0.026592,0.003822,0.002089,-0.000375,0.000000,0.000000,0.002299,-0.002299,-0.007018,-0.005590,-0.007922,-0.013244,0.067416,-0.021991,-0.166537,-0.233862,-0.018497,-0.015458,-0.296377,-0.245342,-0.013787,0.051807,
branch_26,0.006327,0.005681,0.026592,0.003822,0.002089,-0.000375,0.000000,0.000000,0.002299,-0.002299,-0.007018,-0.005590,-0.007922,-0.013244,0.067416,-0.021991,-0.166537,-0.233862,-0.018497,-0.015458,-0.296377,-0.245342,-0.013787,0.051807,
branch_27,-0.067628,-0.060718,-0.284235,-0.040849,-0.022324,0.004013,0.000000,-0.000000,-0.024578,0.024578,0.075011,0.059749,0.084675,0.141566,0.279400,0.235060,0.250670,0.257940,0.197710,0.165232,0.264691,0.259180,0.147369,-0.553755,
branch_28,-0.012654,-0.011361,-0.053184,-0.007643,-0.004177,0.000751,0.000000,0.000000,-0.004599,0.004599,0.014035,0.011180,0.015844,0.026489,-0.134832,0.043982,-0.666927,-0.532277,0.036994,0.030917,-0.407245,-0.509316,0.027574,-0.103614,
branch_29,0.034228,0.030731,0.143857,0.020674,0.011299,-0.002031,0.000000,-0.000000,0.012440,-0.012440,0.032363,-0.100568,-0.099263,0.179899,0.364710,0.387151,0.379251,0.375571,-0.494705,-0.391972,0.372154,0.374944,-0.335469,0.280266,
