brcIdx,frmBusIdx,toBusIdx,x,rateA,pkPreRT,pkRT_ISO,pkPostRTSCED,pkPostRTACtual,pkPostRTVio
1,1,2,0.014000,157.500000,15.656284,24.815935,23.775045,14.615394,-142.884606
2,1,3,0.211002,157.500000,-14.173016,-13.484515,-11.319647,-12.008147,-145.491853
3,1,5,0.085000,157.500000,74.116731,74.087008,72.963030,72.992753,-84.507247
4,2,4,0.127000,157.500000,44.347383,43.524732,43.194810,44.017462,-113.482538
5,2,6,0.192001,157.500000,57.908901,58.191203,57.480235,57.197932,-100.302068
6,3,9,0.118999,157.500000,48.386600,40.179243,35.577751,43.785108,-113.714892
7,3,24,0.084000,360.000000,-242.559616,-251.663758,-244.897397,-235.793255,-124.206745
8,4,9,0.104000,157.500000,-29.652617,-37.875268,-38.205190,-29.982538,-127.517462
9,5,10,0.088000,157.500000,3.116731,-4.012992,-5.136970,1.992753,-155.507247
10,6,10,0.061000,157.500000,-78.091099,-91.408797,-92.119765,-78.802068,-78.697932
11,7,8,0.061000,157.500000,96.348154,136.810453,153.705671,113.243371,-44.256629
12,7,27,0.160999,157.500000,17.285106,-10.677193,33.794329,61.756629,-95.743371
13,8,9,0.165000,157.500000,-48.861514,-20.690825,-11.929083,-40.099772,-117.400228
14,8,10,0.165000,157.500000,-25.790332,3.601278,11.734753,-17.656856,-139.843144
15,9,11,0.084000,360.000000,-94.640708,-93.232791,-90.038635,-91.446552,-268.553448
16,9,12,0.084000,360.000000,-110.486823,-117.654058,-117.017887,-109.850651,-250.149349
17,10,11,0.084000,360.000000,-139.959292,-140.949622,-136.521365,-135.531036,-224.468964
18,10,12,0.084000,360.000000,-155.805407,-165.370889,-163.500617,-153.935135,-206.064865
19,11,14,0.042000,450.000000,-234.600000,-234.182413,-226.560000,-226.977587,-223.022413
20,12,13,0.048000,450.000000,5.111922,-0.541360,-4.837072,0.816211,-449.183789
21,12,23,0.097000,450.000000,-271.404152,-282.483587,-275.681432,-264.601997,-185.398003
22,13,23,0.087000,450.000000,-305.421024,-314.654912,-304.700823,-295.466936,-154.533064
23,13,39,0.075000,450.000000,-227.617054,-298.536448,-274.617748,-203.698353,-246.301647
24,14,16,0.059000,315.000000,-315.000000,-322.622413,-315.000000,-307.377587,-7.622413
25,15,16,0.017000,450.000000,138.708718,135.624680,110.352533,113.436571,-336.563429
26,15,21,0.049000,450.000000,-172.834167,-182.414219,-202.899035,-193.318983,-256.681017
27,15,21,0.049000,450.000000,-172.834167,-182.414219,-202.899035,-193.318983,-256.681017
28,15,24,0.052000,450.000000,242.559616,251.663758,244.897397,235.793255,-214.206745
29,16,17,0.026000,450.000000,-290.432822,-291.294623,-302.927225,-302.065424,-147.934576
30,16,19,0.023000,450.000000,68.391540,48.546890,42.529758,62.374408,-387.625592
31,17,18,0.014000,450.000000,-153.579529,-152.160484,-162.222685,-163.641730,-286.358270
32,17,22,0.105000,450.000000,-136.853293,-139.134138,-140.704540,-138.423695,-311.576305
33,18,21,0.026000,450.000000,-43.289764,-59.230242,-64.261343,-48.320865,-401.679135
34,18,21,0.026000,450.000000,-43.289764,-59.230242,-64.261343,-48.320865,-401.679135
35,19,20,0.040000,450.000000,-3.354230,-17.031555,-20.040121,-6.362796,-443.637204
36,19,20,0.040000,450.000000,-3.354230,-17.031555,-20.040121,-6.362796,-443.637204
37,20,23,0.022000,450.000000,-29.904230,-46.236555,-49.245121,-32.912796,-417.087204
38,20,23,0.022000,450.000000,-29.904230,-46.236555,-49.245121,-32.912796,-417.087204
39,21,22,0.068000,450.000000,-163.146707,-160.865862,-159.295460,-161.576305,-288.423695
40,23,41,0.074000,450.000000,23.366364,-29.611609,-18.872498,34.105475,-415.894525
41,25,26,0.014000,157.500000,16.150991,7.437353,17.719940,26.433578,-131.066422
42,25,27,0.211002,157.500000,-15.201918,6.896634,-14.489329,-36.587882,-120.912118
43,25,29,0.085000,157.500000,74.650927,72.066013,83.169390,85.754304,-71.745696
44,26,28,0.127000,157.500000,44.504186,47.585400,50.844579,47.763366,-109.736634
45,26,30,0.192001,157.500000,58.246805,56.151953,63.175360,65.270212,-92.229788
46,27,33,0.118999,157.500000,50.573564,22.813251,68.269763,96.030076,-61.469924
47,27,48,0.084000,360.000000,-228.490377,-188.593810,-210.964763,-250.861329,-109.138671
48,28,33,0.104000,157.500000,-29.495814,-19.014600,-15.755421,-26.236634,-131.263366
49,29,34,0.088000,157.500000,3.650927,8.166013,19.269390,14.754304,-142.745696
50,30,34,0.061000,157.500000,-77.753195,-66.248047,-59.224640,-70.729788,-86.770212
51,31,32,0.061000,157.500000,157.500000,170.000000,-34.197413,-46.697413,-110.802587
52,32,33,0.165000,157.500000,-18.434890,-0.053810,-105.255729,-123.636809,-33.863191
53,32,34,0.165000,157.500000,4.934890,16.153810,-82.841684,-94.060604,-63.439396
54,33,35,0.084000,360.000000,-94.347441,-74.317276,-99.306113,-119.336278,-240.663722
55,33,36,0.084000,360.000000,-78.009700,-79.437884,-110.935274,-109.507089,-250.492911
56,34,35,0.084000,360.000000,-140.252559,-106.153808,-143.333887,-177.432638,-182.567362
57,34,36,0.084000,360.000000,-123.914818,-111.274416,-154.963047,-167.603450,-192.396550
58,35,38,0.042000,450.000000,-234.600000,-180.471084,-242.640000,-296.768916,-153.231084
