busIdx,pdPreRT,pdRT_ISO,pdRT_Actual,deltaPdRT,noisePd
1,108.000000,108.205019,108.205019,0.000000,0.205019
2,97.000000,96.440338,96.440338,0.000000,-0.559662
3,180.000000,171.770768,171.770768,0.000000,-8.229233
4,74.000000,72.831210,72.831210,0.000000,-1.168790
5,71.000000,67.210860,67.210860,0.000000,-3.789140
6,136.000000,133.462563,133.462563,0.000000,-2.537437
7,125.000000,119.140723,119.140723,0.000000,-5.859277
8,171.000000,168.961855,168.961855,0.000000,-2.038145
9,175.000000,174.049086,174.049086,0.000000,-0.950914
10,195.000000,190.215405,190.215405,0.000000,-4.784595
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,745.000000,769.150682,769.150682,0.000000,24.150682
14,80.400000,81.020837,81.020837,0.000000,0.620837
15,131.400000,133.160768,133.160768,0.000000,1.760768
16,100.000000,97.028267,97.028267,0.000000,-2.971733
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,333.000000,318.457052,318.457052,0.000000,-14.542948
19,75.100000,74.889374,74.889374,0.000000,-0.210626
20,53.100000,54.388455,54.388455,0.000000,1.288455
21,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000
25,108.000000,110.907887,110.907887,0.000000,2.907887
26,97.000000,99.357445,99.357445,0.000000,2.357445
27,180.000000,172.661406,172.661406,0.000000,-7.338595
28,74.000000,71.685943,71.685943,0.000000,-2.314057
29,71.000000,70.072402,70.072402,0.000000,-0.927598
30,136.000000,133.027897,133.027897,0.000000,-2.972103
31,125.000000,121.771671,121.771671,0.000000,-3.228329
32,171.000000,159.235200,159.235200,0.000000,-11.764800
33,175.000000,176.592553,176.592553,0.000000,1.592553
34,195.000000,191.678630,191.678630,0.000000,-3.321370
35,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000
37,745.000000,693.744000,693.744000,0.000000,-51.256000
38,80.400000,78.869233,78.869233,0.000000,-1.530767
39,131.400000,133.184747,133.184747,0.000000,1.784747
40,100.000000,102.135496,102.135496,0.000000,2.135496
41,0.000000,0.000000,0.000000,0.000000,0.000000
42,333.000000,334.869951,334.869951,0.000000,1.869951
43,75.100000,74.885171,74.885171,0.000000,-0.214829
44,53.100000,54.037546,54.037546,0.000000,0.937546
45,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.000000,0.000000,0.000000,0.000000,0.000000
47,0.000000,0.000000,0.000000,0.000000,0.000000
48,0.000000,0.000000,0.000000,0.000000,0.000000
49,108.000000,104.331128,104.331128,0.000000,-3.668872
50,97.000000,93.671912,93.671912,0.000000,-3.328088
51,180.000000,178.835949,178.835949,0.000000,-1.164051
52,74.000000,73.566411,73.566411,0.000000,-0.433589
53,71.000000,71.165241,71.165241,0.000000,0.165241
54,136.000000,138.014187,138.014187,0.000000,2.014187
55,125.000000,125.105974,125.105974,0.000000,0.105974
56,171.000000,164.034264,164.034264,0.000000,-6.965736
57,175.000000,169.626665,169.626665,0.000000,-5.373335
58,195.000000,188.610501,188.610501,0.000000,-6.389498
59,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000
61,745.000000,745.164997,745.164997,0.000000,0.164997
62,80.400000,79.047178,79.047178,0.000000,-1.352822
63,131.400000,126.148589,126.148589,0.000000,-5.251411
64,100.000000,98.022451,98.022451,0.000000,-1.977549
65,0.000000,0.000000,0.000000,0.000000,0.000000
66,333.000000,328.375236,328.375236,0.000000,-4.624764
67,75.100000,77.594085,77.594085,0.000000,2.494085
68,53.100000,51.265299,51.265299,0.000000,-1.834701
69,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.000000,0.000000,0.000000,0.000000,0.000000
71,0.000000,0.000000,0.000000,0.000000,0.000000
72,0.000000,0.000000,0.000000,0.000000,0.000000
73,0.000000,0.000000,0.000000,0.000000,0.000000
