brcIdx,frmBusIdx,toBusIdx,x,rateA,pkPreRT,pkRT_ISO,pkPostRTSCED,pkPostRTACtual,pkPostRTVio
1,1,2,0.014000,157.500000,15.656284,24.671115,24.647209,16.551354,-140.948646
2,1,3,0.211002,157.500000,-14.173016,-15.690283,-15.623196,-15.614637,-141.885363
3,1,5,0.085000,157.500000,74.116731,69.563613,69.575269,70.796968,-86.703032
4,2,4,0.127000,157.500000,44.347383,40.029871,40.051509,41.761782,-115.738218
5,2,6,0.192001,157.500000,57.908901,56.262191,56.271484,56.640285,-100.859715
6,3,9,0.118999,157.500000,48.386600,40.142245,40.062482,48.622680,-108.877320
7,3,24,0.084000,360.000000,-242.559616,-244.731321,-244.584472,-235.963493,-124.036507
8,4,9,0.104000,157.500000,-29.652617,-38.105535,-38.083897,-29.270406,-128.229594
9,5,10,0.088000,157.500000,3.116731,-5.083164,-5.071508,2.936261,-154.563739
10,6,10,0.061000,157.500000,-78.091099,-93.150825,-93.141532,-79.189729,-78.310271
11,7,8,0.061000,157.500000,96.348154,134.717058,151.002597,110.718182,-46.781818
12,7,27,0.160999,157.500000,17.285106,-6.907073,38.574740,66.589971,-90.910029
13,8,9,0.165000,157.500000,-48.861514,-24.744459,-16.593667,-44.980731,-112.519269
14,8,10,0.165000,157.500000,-25.790332,-0.505936,7.628811,-22.042701,-135.457299
15,9,11,0.084000,360.000000,-94.640708,-91.049640,-91.168959,-92.857146,-267.142854
16,9,12,0.084000,360.000000,-110.486823,-115.755099,-107.543114,-100.132211,-259.867789
17,10,11,0.084000,360.000000,-139.959292,-138.661224,-138.749028,-137.914181,-222.085819
18,10,12,0.084000,360.000000,-155.805407,-163.366683,-155.123184,-145.189245,-214.810755
19,11,14,0.042000,450.000000,-234.600000,-229.710865,-229.917987,-230.771327,-219.228673
20,12,13,0.048000,450.000000,5.111922,-0.748737,12.255269,18.729444,-431.270556
21,12,23,0.097000,450.000000,-271.404152,-278.373045,-274.921567,-264.050901,-185.949099
22,13,23,0.087000,450.000000,-305.421024,-309.957469,-313.283926,-304.735714,-145.264286
23,13,39,0.075000,450.000000,-227.617054,-286.211658,-267.373400,-196.741746,-253.258254
24,14,16,0.059000,315.000000,-315.000000,-314.792878,-315.000000,-308.118612,-6.881388
25,15,16,0.017000,450.000000,138.708718,128.914025,125.360779,129.746770,-320.253230
26,15,21,0.049000,450.000000,-172.834167,-175.425584,-173.418860,-164.760799,-285.239201
27,15,21,0.049000,450.000000,-172.834167,-175.425584,-173.418860,-164.760799,-285.239201
28,15,24,0.052000,450.000000,242.559616,244.731321,244.584472,235.963493,-214.036507
29,16,17,0.026000,450.000000,-290.432822,-279.970778,-276.754601,-277.445158,-172.554842
30,16,19,0.023000,450.000000,68.391540,43.084486,62.631513,84.098514,-365.901486
31,17,18,0.014000,450.000000,-153.579529,-141.773654,-138.991661,-141.807286,-308.192714
32,17,22,0.105000,450.000000,-136.853293,-138.197124,-137.762940,-135.637872,-314.362128
33,18,21,0.026000,450.000000,-43.289764,-58.588401,-57.197404,-41.541437,-408.458563
34,18,21,0.026000,450.000000,-43.289764,-58.588401,-57.197404,-41.541437,-408.458563
35,19,20,0.040000,450.000000,-3.354230,-20.032568,-10.259054,4.253975,-445.746025
36,19,20,0.040000,450.000000,-3.354230,-20.032568,-10.259054,4.253975,-445.746025
37,20,23,0.022000,450.000000,-29.904230,-47.564783,-37.791269,-20.775312,-429.224688
38,20,23,0.022000,450.000000,-29.904230,-47.564783,-37.791269,-20.775312,-429.224688
39,21,22,0.068000,450.000000,-163.146707,-161.802876,-162.237060,-164.362128,-285.637872
40,23,41,0.074000,450.000000,23.366364,-23.460080,-3.788031,49.662762,-400.337238
41,25,26,0.014000,157.500000,16.150991,10.530180,20.078856,29.032708,-128.467292
42,25,27,0.211002,157.500000,-15.201918,1.693208,-18.148985,-40.608644,-116.891356
43,25,29,0.085000,157.500000,74.650927,74.288223,84.636577,87.360877,-70.139123
44,26,28,0.127000,157.500000,44.504186,45.457531,48.513305,45.166123,-112.333877
45,26,30,0.192001,157.500000,58.246805,57.888592,64.436332,66.656341,-90.843659
46,27,33,0.118999,157.500000,50.573564,28.881012,71.119024,99.099161,-58.400839
47,27,48,0.084000,360.000000,-228.490377,-191.017461,-207.615853,-247.476260,-112.523740
48,28,33,0.104000,157.500000,-29.495814,-20.446632,-17.390858,-28.060724,-129.439276
49,29,34,0.088000,157.500000,3.650927,7.680344,18.028697,13.352122,-144.147878
50,30,34,0.061000,157.500000,-77.753195,-70.028158,-63.480418,-75.473381,-82.026619
51,31,32,0.061000,157.500000,157.500000,167.420738,-0.834104,-13.607995,-143.892005
52,32,33,0.165000,157.500000,-18.434890,-4.058221,-91.066558,-109.854920,-47.645080
53,32,34,0.165000,157.500000,4.934890,15.313156,-65.933349,-77.270634,-80.229366
54,33,35,0.084000,360.000000,-94.347441,-74.386335,-95.398892,-115.280821,-244.719179
55,33,36,0.084000,360.000000,-78.009700,-75.968060,-96.670054,-95.458500,-264.541500
56,34,35,0.084000,360.000000,-140.252559,-112.437415,-144.767902,-179.285939,-180.714061
57,34,36,0.084000,360.000000,-123.914818,-114.019140,-146.039065,-159.463618,-200.536382
58,35,38,0.042000,450.000000,-234.600000,-186.823750,-240.166794,-294.566760,-155.433240
59,36,37,0.048000,450.000000,111.586622,91.668771,74.516842,97.584206,-352.415794
60,36,47,0.097000,450.000000,-313.511140,-281.655971,-317.225961,-352.506324,-97.493676
61,37,47,0.087000,450.000000,-411.112986,-364.607011,-394.802398,-446.864948,-3.135052
62,38,40,0.059000,315.000000,-315.000000,-261.656956,-315.000000,-377.714766,62.714766
63,39,40,0.017000,450.000000,42.912902,-6.918978,0.786066,65.232150,-384.767850
64,39,45,0.049000,450.000000,-231.710166,-223.158423,-225.734335,-236.085693,-213.914307
65,39,45,0.049000,450.000000,-231.710166,-223.158423,-225.734335,-236.085693,-213.914307
66,39,48,0.052000,450.000000,228.490377,191.017461,207.615853,247.476260,-202.523740
67,40,41,0.026000,450.000000,-326.946032,-273.795340,-288.315565,-353.466164,-96.533836
68,40,43,0.023000,450.000000,42.818685,-19.357754,17.002369,94.075128,-355.924872
69,41,42,0.014000,450.000000,-164.951550,-157.958272,-153.501944,-165.728442,-284.271558
70,41,46,0.105000,450.000000,-138.628118,-139.297148,-138.601652,-138.074960,-311.925040
71,42,45,0.026000,450.000000,-48.975775,-57.193003,-54.964839,-44.876827,-405.123173
72,42,45,0.026000,450.000000,-48.975775,-57.193003,-54.964839,-44.876827,-405.123173
73,43,44,0.040000,450.000000,-16.140658,-51.177488,-32.997426,9.311554,-440.688446
74,43,44,0.040000,450.000000,-16.140658,-51.177488,-32.997426,9.311554,-440.688446
75,44,47,0.022000,450.000000,-42.690658,-76.217479,-58.037418,-18.510659,-431.489341
76,44,47,0.022000,450.000000,-42.690658,-76.217479,-58.037418,-18.510659,-431.489341
77,45,46,0.068000,450.000000,-161.371882,-160.702852,-161.398348,-161.925040,-288.074960
78,49,50,0.014000,157.500000,15.746088,18.544643,17.970670,14.268531,-143.231469
79,49,51,0.211002,157.500000,-14.359791,-16.128668,-14.917540,-14.716613,-142.783387
80,49,53,0.085000,157.500000,74.213703,82.636982,82.054662,74.612296,-82.887704
81,50,52,0.127000,157.500000,44.375848,47.275618,47.122906,43.500922,-113.999078
82,50,54,0.192001,157.500000,57.970240,67.867138,67.500714,57.759776,-99.740224
83,51,57,0.118999,157.500000,48.783598,63.540922,61.029463,46.650054,-110.849946
84,51,72,0.084000,360.000000,-243.143389,-241.580515,-237.857927,-241.267694,-118.732306
85,52,57,0.104000,157.500000,-29.624152,-20.245039,-20.397751,-31.522030,-125.977970
86,53,58,0.088000,157.500000,3.213703,16.125423,15.543104,0.710564,-156.789436
87,54,58,0.061000,157.500000,-78.029760,-79.458974,-79.825398,-80.083873,-77.416127
88,55,56,0.061000,157.500000,157.500000,138.086174,155.700417,168.818561,11.318561
89,56,57,0.165000,157.500000,-18.312693,-32.461696,-23.480547,-8.058691,-149.441309
90,56,58,0.165000,157.500000,4.812693,-6.491849,2.141244,15.932052,-141.567948
91,57,59,0.084000,360.000000,-94.587471,-97.526173,-95.490609,-92.401083,-267.598917
92,57,60,0.084000,360.000000,-79.565776,-47.016903,-42.735487,-73.170987,-286.829013
93,58,59,0.084000,360.000000,-140.012529,-148.538587,-145.819338,-139.525956,-220.474044
94,58,60,0.084000,360.000000,-124.990834,-98.029317,-93.064216,-120.295860,-239.704140
95,59,62,0.042000,450.000000,-234.600000,-246.064760,-241.309948,-231.927039,-218.072961
96,60,61,0.048000,450.000000,104.540070,163.911460,172.424912,119.859485,-330.140515
97,60,71,0.097000,450.000000,-309.096680,-308.957680,-308.224615,-313.326332,-136.673668
98,61,71,0.087000,450.000000,-402.303333,-434.905172,-438.784948,-415.471301,-34.528699
99,62,64,0.059000,315.000000,-315.000000,-319.754812,-315.000000,-313.804875,-1.195125
100,63,64,0.017000,450.000000,146.420914,177.871445,168.817891,138.035517,-311.964483
101,63,69,0.049000,450.000000,-176.982152,-186.025989,-179.481243,-172.421976,-277.578024
102,63,69,0.049000,450.000000,-176.982152,-186.025989,-179.481243,-172.421976,-277.578024
103,63,72,0.052000,450.000000,243.143389,241.580515,237.857927,241.267694,-208.732306
104,64,65,0.026000,450.000000,-263.030256,-294.024798,-277.709037,-250.735365,-199.264635
105,64,67,0.023000,450.000000,48.701169,114.666364,110.583451,43.903935,-406.096065
106,65,66,0.014000,450.000000,-120.125947,-150.126573,-134.102097,-108.098875,-341.901125
107,65,70,0.105000,450.000000,-142.904308,-143.898225,-143.606940,-142.636490,-307.363510
108,66,69,0.026000,450.000000,-101.565694,-92.024898,-98.715287,-106.259779,-343.740221
109,66,69,0.026000,450.000000,-101.565694,-92.024898,-98.715287,-106.259779,-343.740221
110,67,68,0.040000,450.000000,-13.199415,23.646331,21.604875,-15.477867,-434.522133
111,67,68,0.040000,450.000000,-13.199415,23.646331,21.604875,-15.477867,-434.522133
112,68,71,0.022000,450.000000,-39.749415,-4.956027,-6.997484,-41.480011,-408.519989
113,68,71,0.022000,450.000000,-39.749415,-4.956027,-6.997484,-41.480011,-408.519989
114,69,70,0.068000,450.000000,-157.095692,-156.101775,-156.393060,-157.363510,-292.636490
115,73,21,0.097000,450.000000,-130.898844,-93.774907,-101.004531,-151.757655,-298.242345
116,66,47,0.104000,450.000000,150.005441,138.697940,168.103194,176.392590,-273.607410
117,71,73,0.009000,649.800000,-130.898844,-93.774907,-101.004531,-151.757655,-498.042345
