busIdx,pdPreRT,pdRT_ISO,pdRT_Actual,deltaPdRT,noisePd
1,108.000000,105.000718,111.866315,-6.865597,3.866315
2,97.000000,111.924215,101.749286,10.174929,4.749286
3,180.000000,188.898794,171.726176,17.172618,-8.273824
4,74.000000,78.135406,71.032188,7.103219,-2.967812
5,71.000000,74.646778,67.860707,6.786071,-3.139293
6,136.000000,149.413016,135.830015,13.583001,-0.169985
7,125.000000,110.422663,122.691847,-12.269185,-2.308153
8,171.000000,159.967453,177.741614,-17.774161,6.741614
9,175.000000,184.096990,167.360900,16.736090,-7.639100
10,195.000000,203.287983,184.807257,18.480726,-10.192743
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,745.000000,799.762594,727.056904,72.705690,-17.943096
14,80.400000,85.082013,77.347285,7.734728,-3.052715
15,131.400000,143.892469,130.811336,13.081134,-0.588664
16,100.000000,104.599726,95.090660,9.509066,-4.909340
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,333.000000,375.403148,341.275589,34.127559,8.275589
19,75.100000,83.149621,75.590564,7.559056,0.490565
20,53.100000,55.064430,50.058573,5.005857,-3.041427
21,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000
25,108.000000,97.033553,107.815059,-10.781506,-0.184941
26,97.000000,90.729219,100.810244,-10.081024,3.810244
27,180.000000,156.922584,174.358426,-17.435843,-5.641574
28,74.000000,65.904163,73.226848,-7.322685,-0.773152
29,71.000000,66.607880,74.008755,-7.400876,3.008755
30,136.000000,127.916750,142.129722,-14.212972,6.129722
31,125.000000,114.965019,127.738910,-12.773891,2.738910
32,171.000000,156.165803,173.517559,-17.351756,2.517559
33,175.000000,154.730554,171.922838,-17.192284,-3.077162
34,195.000000,179.421897,199.357663,-19.935766,4.357663
35,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000
37,745.000000,676.169239,751.299155,-75.129915,6.299155
38,80.400000,74.833206,83.148007,-8.314801,2.748007
39,131.400000,142.693352,129.721229,12.972123,-1.678771
40,100.000000,112.099262,101.908420,10.190842,1.908420
41,0.000000,0.000000,0.000000,0.000000,0.000000
42,333.000000,356.427734,324.025213,32.402521,-8.974787
43,75.100000,82.997222,75.452020,7.545202,0.352020
44,53.100000,50.079983,55.644425,-5.564443,2.544425
45,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.000000,0.000000,0.000000,0.000000,0.000000
47,0.000000,0.000000,0.000000,0.000000,0.000000
48,0.000000,0.000000,0.000000,0.000000,0.000000
49,108.000000,98.492207,109.435785,-10.943579,1.435785
50,97.000000,86.947050,96.607833,-9.660783,-0.392167
51,180.000000,161.910925,179.901028,-17.990103,-0.098972
52,74.000000,67.520657,75.022953,-7.502295,1.022953
53,71.000000,66.511559,73.901732,-7.390173,2.901732
54,136.000000,147.326112,137.843648,9.482464,1.843648
55,125.000000,144.299583,131.181439,13.118144,6.181439
56,171.000000,177.039720,160.945200,16.094520,-10.054800
57,175.000000,155.377262,172.641402,-17.264140,-2.358598
58,195.000000,176.742504,196.380560,-19.638056,1.380560
59,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000
61,745.000000,834.669808,758.790734,75.879073,13.790734
62,80.400000,73.690052,81.877836,-8.187784,1.477836
63,131.400000,119.286666,132.540740,-13.254074,1.140740
64,100.000000,91.067354,101.185948,-10.118595,1.185948
65,0.000000,0.000000,0.000000,0.000000,0.000000
66,333.000000,295.225284,328.028093,-32.802809,-4.971907
67,75.100000,67.373702,74.859668,-7.485967,-0.240332
68,53.100000,57.204717,52.004288,5.200429,-1.095712
69,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.000000,0.000000,0.000000,0.000000,0.000000
71,0.000000,0.000000,0.000000,0.000000,0.000000
72,0.000000,0.000000,0.000000,0.000000,0.000000
73,0.000000,0.000000,0.000000,0.000000,0.000000
