genIdx,genBusIdx,Pgmax,Pgmin,cost,PgInit,PgSCED
1,1,20.000000,15.800000,163.020000,15.800000,15.800000
2,1,20.000000,15.800000,163.020000,15.800000,15.800000
3,1,76.000000,15.200000,19.640000,76.000000,76.000000
4,1,76.000000,15.200000,19.640000,76.000000,76.000000
5,2,20.000000,15.800000,163.020000,15.800000,15.800000
6,2,20.000000,15.800000,163.020000,15.800000,15.800000
7,2,76.000000,15.200000,19.640000,76.000000,76.000000
8,2,76.000000,15.200000,19.640000,76.000000,76.000000
9,7,100.000000,25.000000,75.640000,100.000000,100.000000
10,7,100.000000,25.000000,75.640000,38.633260,100.000000
11,7,100.000000,25.000000,75.640000,100.000000,100.000000
12,13,197.000000,68.950000,74.750000,68.950000,68.950000
13,13,197.000000,68.950000,74.750000,68.950000,68.950000
14,13,197.000000,68.950000,74.750000,68.950000,68.950000
15,14,0.000000,0.000000,0.000000,0.000000,0.000000
16,15,12.000000,2.400000,94.740000,2.400000,2.400000
17,15,12.000000,2.400000,94.740000,2.400000,2.400000
18,15,12.000000,2.400000,94.740000,2.400000,2.400000
19,15,12.000000,2.400000,94.740000,2.400000,2.400000
20,15,12.000000,2.400000,94.740000,2.400000,2.400000
21,15,155.000000,54.250000,15.460000,155.000000,155.000000
22,16,155.000000,54.250000,15.460000,54.250000,80.115858
23,18,400.000000,100.000000,5.460000,400.000000,400.000000
24,21,400.000000,100.000000,5.460000,400.000000,400.000000
25,22,50.000000,0.000000,0.000000,50.000000,50.000000
26,22,50.000000,0.000000,0.000000,50.000000,50.000000
27,22,50.000000,0.000000,0.000000,50.000000,50.000000
28,22,50.000000,0.000000,0.000000,50.000000,50.000000
29,22,50.000000,0.000000,0.000000,50.000000,50.000000
30,22,50.000000,0.000000,0.000000,50.000000,50.000000
31,23,155.000000,54.250000,15.460000,155.000000,155.000000
32,23,155.000000,54.250000,15.460000,155.000000,155.000000
33,23,350.000000,140.000000,15.890000,350.000000,350.000000
34,25,20.000000,15.800000,163.020000,15.800000,15.800000
35,25,20.000000,15.800000,163.020000,15.800000,15.800000
36,25,76.000000,15.200000,19.640000,76.000000,76.000000
37,25,76.000000,15.200000,19.640000,76.000000,76.000000
38,26,20.000000,15.800000,163.020000,15.800000,15.800000
39,26,20.000000,15.800000,163.020000,15.800000,15.800000
40,26,76.000000,15.200000,19.640000,76.000000,76.000000
41,26,76.000000,15.200000,19.640000,76.000000,76.000000
42,31,100.000000,25.000000,75.640000,100.000000,25.000000
43,31,100.000000,25.000000,75.640000,100.000000,25.000000
44,31,100.000000,25.000000,75.640000,82.500000,64.130915
45,37,197.000000,68.950000,74.750000,68.950000,68.950000
46,37,197.000000,68.950000,74.750000,68.950000,68.950000
47,37,197.000000,68.950000,74.750000,84.400392,68.950000
48,38,0.000000,0.000000,0.000000,0.000000,0.000000
49,39,12.000000,2.400000,94.740000,2.400000,2.400000
50,39,12.000000,2.400000,94.740000,2.400000,2.400000
51,39,12.000000,2.400000,94.740000,2.400000,2.400000
52,39,12.000000,2.400000,94.740000,2.400000,2.400000
53,39,12.000000,2.400000,94.740000,2.400000,2.400000
54,39,155.000000,54.250000,15.460000,155.000000,155.000000
55,40,155.000000,54.250000,15.460000,87.959751,155.000000
56,42,400.000000,100.000000,5.460000,400.000000,400.000000
57,45,400.000000,100.000000,5.460000,400.000000,400.000000
58,46,50.000000,0.000000,0.000000,50.000000,50.000000
59,46,50.000000,0.000000,0.000000,50.000000,50.000000
60,46,50.000000,0.000000,0.000000,50.000000,50.000000
61,46,50.000000,0.000000,0.000000,50.000000,50.000000
62,46,50.000000,0.000000,0.000000,50.000000,50.000000
63,46,50.000000,0.000000,0.000000,50.000000,50.000000
64,47,155.000000,54.250000,15.460000,155.000000,155.000000
65,47,155.000000,54.250000,15.460000,155.000000,155.000000
66,47,350.000000,140.000000,15.890000,350.000000,350.000000
67,49,20.000000,15.800000,163.020000,15.800000,15.800000
68,49,20.000000,15.800000,163.020000,15.800000,15.800000
69,49,76.000000,15.200000,19.640000,76.000000,76.000000
70,49,76.000000,15.200000,19.640000,76.000000,76.000000
71,50,20.000000,15.800000,163.020000,15.800000,15.800000
72,50,20.000000,15.800000,163.020000,15.800000,15.800000
73,50,76.000000,15.200000,19.640000,76.000000,76.000000
74,50,76.000000,15.200000,19.640000,76.000000,76.000000
75,55,100.000000,25.000000,75.640000,100.000000,100.000000
76,55,100.000000,25.000000,75.640000,100.000000,100.000000
77,55,100.000000,25.000000,75.640000,82.500000,100.000000
78,61,197.000000,68.950000,74.750000,68.950000,68.950000
79,61,197.000000,68.950000,74.750000,68.950000,68.950000
80,61,197.000000,68.950000,74.750000,100.256597,85.559948
81,62,0.000000,0.000000,0.000000,0.000000,0.000000
82,63,12.000000,2.400000,94.740000,2.400000,2.400000
83,63,12.000000,2.400000,94.740000,2.400000,2.400000
84,63,12.000000,2.400000,94.740000,2.400000,2.400000
85,63,12.000000,2.400000,94.740000,2.400000,2.400000
86,63,12.000000,2.400000,94.740000,2.400000,2.400000
87,63,155.000000,54.250000,15.460000,155.000000,155.000000
88,64,155.000000,54.250000,15.460000,54.250000,70.123876
89,66,400.000000,100.000000,5.460000,400.000000,400.000000
90,69,400.000000,100.000000,5.460000,400.000000,400.000000
91,70,50.000000,0.000000,0.000000,50.000000,50.000000
92,70,50.000000,0.000000,0.000000,50.000000,50.000000
93,70,50.000000,0.000000,0.000000,50.000000,50.000000
94,70,50.000000,0.000000,0.000000,50.000000,50.000000
95,70,50.000000,0.000000,0.000000,50.000000,50.000000
96,70,50.000000,0.000000,0.000000,50.000000,50.000000
97,71,155.000000,54.250000,15.460000,155.000000,155.000000
98,71,155.000000,54.250000,15.460000,155.000000,155.000000
99,71,350.000000,140.000000,15.890000,350.000000,350.000000
