brcIdx,frmBusIdx,toBusIdx,x,rateA,pkPreRT,pkRT_ISO,pkPostRTSCED,pkPostRTACtual,pkPostRTVio
1,16,1,0.011690,160.000000,88.971415,72.416047,72.097092,88.652460,-71.347540
2,355,1,0.066120,160.000000,-88.971415,-72.416047,-72.097092,-88.652460,-71.347540
3,17,2,0.011690,160.000000,148.601563,122.018420,120.748981,147.332124,-12.667876
4,354,2,0.066120,160.000000,-148.601563,-122.018420,-120.748981,-147.332124,-12.667876
5,10,3,0.078950,274.000000,144.943521,145.091010,145.483566,145.336077,-128.663923
6,219,3,0.067360,160.000000,-56.102750,-56.176494,-55.807908,-55.734163,-104.265837
7,220,3,0.067360,160.000000,-88.840771,-88.914516,-89.675659,-89.601914,-70.398086
8,7,4,0.097110,377.000000,-219.251613,-216.886485,-206.082321,-208.447449,-168.552551
9,11,4,0.015990,335.000000,157.245000,140.818471,136.285093,152.711623,-182.288377
10,14,4,0.032230,464.000000,139.862210,147.333969,147.965395,140.493636,-323.506364
11,16,4,0.066650,377.000000,164.974388,154.986534,153.834683,163.822536,-213.177464
12,22,4,0.043000,350.000000,-79.877708,-80.670660,-85.532185,-84.739233,-265.260767
13,245,4,0.069010,160.000000,-99.821015,-88.430951,-88.259529,-99.649593,-60.350407
14,246,4,0.069010,160.000000,-63.131261,-57.150878,-58.211135,-64.191519,-95.808481
15,5,6,0.030500,400.000000,-267.817018,-271.388309,-270.253889,-266.682597,-133.317403
16,7,5,0.039880,381.000000,-95.788552,-87.639268,-84.484869,-92.634153,-288.365847
17,10,5,0.112190,381.000000,2.518778,-0.692119,-3.729393,-0.518496,-380.481504
18,309,5,0.068600,160.000000,-87.273622,-91.528461,-91.019813,-86.764974,-73.235026
19,309,5,0.068600,160.000000,-87.273622,-91.528461,-91.019813,-86.764974,-73.235026
20,6,8,0.013290,1316.000000,-326.486402,-304.668431,-282.750002,-304.567973,-1011.432027
21,6,9,0.036750,1427.000000,126.737999,131.952380,132.685492,127.471111,-1299.528889
22,15,6,0.034170,1427.000000,-94.658566,-114.718033,-134.043244,-113.983777,-1313.016223
23,31,6,0.015060,1385.000000,412.727180,465.242716,504.232623,451.717087,-933.282913
