genIdx	segmentIdx  	segmentBreadth	segmentPrice
1	1	453	15.3335
2	1	792	6.3557
3	1	1133	12.8011
4	1	2573	16.7349
5	1	453	20.5699
6	1	853	21.5306
7	1	1100	9.2586
8	1	200	13.2925
9	1	463	19.2179
10	1	463	9.7981
11	1	463	11.1813
12	1	55	13
13	1	703	8.9362
14	1	503	10.6483
15	1	803	10.6444
16	1	247.5	7.6414
17	1	245	11.1241
18	1	120	13.1794
19	1	120	15.9159
20	1	132	12.5606
21	1	121	13.8749
22	1	96.36	6.5
23	1	453	19.7522
24	1	245	13.9763
25	1	483	13.4589
26	1	270	7.15
27	1	270	9.75
28	1	413	17.7424
29	1	110	20.4698
30	1	137.5	10.9161
31	1	913	22.1962
32	1	743	10.5183
33	1	1113	19.188
34	1	653	20.6375
35	1	653	19.1022
36	1	200	12.5216
37	1	653	6.1048
38	1	220	10.1855
39	1	12	26
40	1	192.5	22.035
41	1	361	2.6
42	1	12	4.628
43	1	12	6.305
44	1	12	6.526
45	1	104.5	1.365
46	1	12	6.526
47	1	12	8.424
48	1	16.5	3.328
49	1	12.1	3.4983
50	1	12	12.948
51	1	12	9.7955
52	1	77	16.289
53	1	66	16.471
54	1	66	26
55	1	132	19.5
56	1	44	20.4919
57	1	12	20.566
58	1	12	13
59	1	12	12.519
60	1	48.4	4.537
61	1	48.4	5.057
62	1	48.4	5.785
63	1	47.3	9.035
64	1	12	9.165
65	1	200	17.5474
66	1	12	2.119
67	1	12	1.937
68	1	12	0.728
69	1	12	0.858
70	1	12	1.04
71	1	12	1.287
72	1	12	0.975
73	1	12	9.776
74	1	12	8.268
75	1	12	4.758
76	1	12	7.696
77	1	12	16.3605
78	1	12	13.065
79	1	12	14.04
80	1	254	13.78
81	1	257.4	27.3728
82	1	126.5	15.6468
83	1	126.5	11.648
84	1	12	11.648
85	1	12	11.128
86	1	12	11.1761
87	1	12	10.257
88	1	12	7.748
89	1	12	8.632
90	1	12	7.202
91	1	12	10.608
92	1	220	18.5822
93	1	220	16.6686
94	1	12	16.2968
95	1	12	16.198
96	1	12	12.441
97	1	12	11.999
98	1	12	11.544
99	1	12	11.271
100	1	12	10.946
101	1	12	10.387
102	1	222.2	18.4249
103	1	12	8.489
104	1	12	7.111
105	1	12	5.746
106	1	12	1.768
107	1	12	3.718
108	1	12	19.591
109	1	12	18.85
110	1	147.4	7.618
111	1	88	13.1066
112	1	270	19.747
113	1	12	1.677
114	1	12	14.638
115	1	12	13.39
116	1	54.78	13.65
117	1	12	5.98
118	1	12	5.538
119	1	49.412	4.641
120	1	55	14.8395
121	1	12	5.018
122	1	12	5.135
123	1	35.057	5.928
124	1	12	6.266
125	1	12	5.395
126	1	12	10.374
127	1	423	11.4335
128	1	423	16.9325
129	1	16.643	12.9168
130	1	12	14.0725
131	1	22.891	17.8828
132	1	12	16.3371
133	1	66.594	16.835
134	1	12	7.306
135	1	12	5.759
136	1	12	3.328
137	1	12	11.635
138	1	100	18.9761
139	1	50	17.8854
140	1	50	19.1568
141	1	12	19.227
142	1	12	19.175
143	1	26.026	16.536
144	1	12	10.725
145	1	27.39	10.036
146	1	65.736	9.919
147	1	32.868	9.685
148	1	12	5.538
149	1	23.936	7.241
150	1	12	7.982
151	1	51	6.253
152	1	250	10.7796
153	1	245	17.3667
154	1	44	9.555
155	1	120	19.8835
156	1	132	8.7555
157	1	120	17.5409
158	1	117.216	6.396
159	1	270	7.9716
160	1	109.549	5.538
161	1	110	4.875
162	1	109.549	4.693
163	1	66	5.538
164	1	16.434	7.969
165	1	35	7.969
166	1	18	9.854
167	1	216.909	2.028
168	1	12	11.102
169	1	12	11.518
170	1	12	11.232
171	1	12	11.076
172	1	12	9.399
173	1	12	8.606
174	1	23	6.773
175	1	12	5.837
176	1	424	7.982
177	1	132	14.9487
178	1	35	15.9432
179	1	548	15.4492
180	1	12	8.918
181	1	12	7.176
182	1	12	1.898
183	1	34.287	3.328
184	1	53.68	11.076
185	1	12	5.811
186	1	12	9.087
187	1	245	18.6979
188	1	245	8.7724
189	1	235	11.44
190	1	12	15.665
191	1	12	18.928
192	1	12	17.238
193	1	57.233	17.355
194	1	66.605	15.054
195	1	18.216	15.106
196	1	132	16.8818
197	1	132	14.0608
198	1	12	16.029
199	1	12	6.5
200	1	12	6.5
201	1	12	6.5
202	1	12	6.5
203	1	12	6.5
204	1	49	6.5
205	1	156.75	1.755
206	1	53.295	8.476
207	1	66	8.632
208	1	99	9.425
209	1	12	3.848
210	1	12	4.342
211	1	12	16.0095
212	1	55	18.5068
213	1	12	3.3319
214	1	12	1.9942
215	1	27	18.4925
216	1	12	21.2576
217	1	121	25.8375
218	1	12	10.725
219	1	12	11.557
220	1	12	3.432
221	1	12	3.328
222	1	12	1.859
223	1	12	7.748
224	1	12	3.354
225	1	12	1.885
226	1	12	3.705
227	1	12	9.776
228	1	12	11.453
229	1	60.5	9.8358
230	1	78	9.9931
231	1	55	18.6654
232	1	55	19.9095
233	1	12	18.499
234	1	12	15.314
235	1	12	15.535
236	1	12	15.6
237	1	12	14.3
238	1	12	10.4
239	1	12	11.7
240	1	12	10.4
241	1	12	9.1
242	1	12	7.8
243	1	12	3.9
244	1	215.2381	17.1314
245	1	213.0106	7.0044
246	1	12	6.5
247	1	12	5.2
248	1	18.7	6.5
249	1	12	7.8
250	1	63	8.645
251	1	12	6.994
252	1	12	8.385
253	1	12	4.485
254	1	12	2.938
255	1	8	1.976
256	1	8	7.046
257	1	8	1.3
258	1	12	1.56
259	1	12	1.95
260	1	12	2.275
261	1	12	19.89
262	1	12	9.828
263	1	12	5.785
264	1	23.1	5.538
265	1	8	5.525
266	1	8	1.651
267	1	220	5.824
268	1	87.153	12.545
