genIdx	segmentIdx  	segmentBreadth	segmentPrice
1	1	453	15.667
2	1	773	12.7114
3	1	1133	13.6022
4	1	2573	17.4698
5	1	453	16.1398
6	1	853	20.0612
7	1	1053	17.5172
8	1	200	17.585
9	1	463	23.4358
10	1	463	20.5962
11	1	463	18.3626
12	1	55	26
13	1	703	17.8724
14	1	503	11.2966
15	1	803	10.2888
16	1	245	15.2828
17	1	245	22.2482
18	1	120	24.3588
19	1	120	35.8318
20	1	126	22.1212
21	1	115.5	17.7498
22	1	91.98	13
23	1	453	37.5044
24	1	245	27.9526
25	1	483	20.9178
26	1	270	14.3
27	1	270	19.5
28	1	413	15.4848
29	1	110	40.9396
30	1	131.25	21.8322
31	1	913	14.3924
32	1	743	21.0366
33	1	1113	8.376
34	1	653	11.275
35	1	653	18.2044
36	1	200	25.0432
37	1	653	12.2096
38	1	210	20.371
39	1	12	52
40	1	183.75	44.07
41	1	361	5.2
42	1	12	9.256
43	1	12	12.61
44	1	12	13.052
45	1	99.75	2.73
46	1	12	13.052
47	1	12	16.848
48	1	15.75	6.656
49	1	12	6.9966
50	1	12	25.896
51	1	12	19.591
52	1	73.5	32.578
53	1	63	32.942
54	1	63	52
55	1	126	39
56	1	42	40.9838
57	1	12	41.132
58	1	12	26
59	1	12	25.038
60	1	46.2	9.074
61	1	46.2	10.114
62	1	46.2	11.57
63	1	45.15	18.07
64	1	12	18.33
65	1	200	31.0948
66	1	12	4.238
67	1	12	3.874
68	1	12	1.456
69	1	12	1.716
70	1	12	2.08
71	1	12	29.574
72	1	12	50.95
73	1	12	19.552
74	1	12	16.536
75	1	12	9.516
76	1	12	15.392
77	1	12	32.721
78	1	12	26.13
79	1	12	28.08
80	1	254	17.56
81	1	254	14.7456
82	1	120.75	21.2936
83	1	120.75	21.296
84	1	12	33.296
85	1	12	27.256
86	1	12	28.3522
87	1	12	20.514
88	1	12	15.496
89	1	12	17.264
90	1	12	14.404
91	1	12	21.216
92	1	210	17.1644
93	1	210	13.3372
94	1	12	32.5936
95	1	12	32.396
96	1	12	24.882
97	1	12	23.998
98	1	12	23.088
99	1	12	22.542
100	1	12	21.892
101	1	12	20.774
102	1	222	26.8498
103	1	12	16.978
104	1	12	14.222
105	1	12	11.492
106	1	12	3.536
107	1	12	7.436
108	1	12	39.182
109	1	12	37.7
110	1	140.7	15.236
111	1	84	26.2132
112	1	270	39.494
113	1	12	3.354
114	1	12	29.276
115	1	12	26.78
116	1	52.29	27.3
117	1	12	21.96
118	1	12	21.076
119	1	47.166	9.282
120	1	55	24.679
121	1	12	10.036
122	1	12	10.27
123	1	33.4635	11.856
124	1	12	12.532
125	1	12	10.79
126	1	12	20.748
127	1	423	22.867
128	1	423	33.865
129	1	15.93	25.8336
130	1	12	28.145
131	1	21.91	25.7656
132	1	12	42.6742
133	1	63.73	26.67
134	1	12	14.612
135	1	12	11.518
136	1	12	6.656
137	1	12	43.27
138	1	100	27.9522
139	1	50	25.7708
140	1	50	28.3136
141	1	12	28.454
142	1	12	28.35
143	1	24.9	33.072
144	1	12	21.45
145	1	26.145	20.072
146	1	62.748	19.838
147	1	31.374	19.37
148	1	12	11.076
149	1	22.91	14.482
150	1	12	15.964
151	1	51	12.506
152	1	250	21.5592
153	1	245	34.7334
154	1	44	19.11
155	1	120	29.767
156	1	126	17.511
157	1	120	15.0818
158	1	111.888	12.792
159	1	270	15.9432
160	1	104.5695	11.076
161	1	110	9.75
162	1	105	9.386
163	1	66	11.076
164	1	15.687	15.938
165	1	35	15.938
166	1	18	19.708
167	1	207.0495	4.056
168	1	12	22.204
169	1	12	23.036
170	1	12	22.464
171	1	12	22.152
172	1	12	18.798
173	1	12	17.212
174	1	23	13.546
175	1	12	11.674
176	1	424	15.964
177	1	126	29.8974
178	1	35	31.8864
179	1	548	10.8984
180	1	12	17.836
181	1	12	14.352
182	1	12	3.796
183	1	32.7285	6.656
184	1	51.24	22.152
185	1	12	11.622
186	1	12	18.174
187	1	245	17.3958
188	1	245	18.5448
189	1	235	22.88
190	1	12	31.33
191	1	12	37.856
192	1	12	34.476
193	1	54.77	34.71
194	1	63.74	20.108
195	1	17.43	29.212
196	1	126	23.7636
197	1	126	18.1216
198	1	12	32.058
199	1	12	13
200	1	12	13
201	1	12	13
202	1	12	13
203	1	12	13
204	1	49	13
205	1	150	3.51
206	1	51	16.952
207	1	66	17.264
