genIdx	RampRate
1	10
2	8.8
3	8.8
4	8.8
5	10
6	10
7	8.5
8	10
9	10
10	10
11	10
12	13.172
13	8.55
14	8.55
15	7.8
16	8.6
17	8.6
18	13
19	13
20	9.5
21	11
22	9.337
23	8.4
24	8.6
25	8.4
26	9.5
27	9.5
28	13
29	20
30	12
31	10
32	10
33	10
34	10
35	10
36	10
37	10
38	10
39	0
40	8.26
41	6.94
42	0
43	0
44	0
45	8.9875
46	30
47	30
48	22.875
49	24.775
50	30
51	30
52	10.175
53	10.65
54	10.65
55	8.86
56	13.4
57	30
58	30
59	30
60	12.64
61	12.64
62	12.64
63	12.83
64	30
65	10
66	30
67	30
68	30
69	30
70	30
71	30
72	30
73	30
74	30
75	30
76	30
77	30
78	30
79	30
80	7.777
81	7.777
82	8.9075
83	8.9075
84	30
85	30
86	30
87	30
88	30
89	30
90	30
91	30
92	10
93	10
94	30
95	30
96	30
97	30
98	30
99	30
100	30
101	30
102	10
103	30
104	30
105	30
106	30
107	30
108	30
109	30
110	8.727
111	30
112	9.25
113	30
114	30
115	30
116	11.538
117	30
118	30
119	12.466
120	18.5
121	30
122	30
123	14.944
124	30
125	30
126	30
127	7.2
128	7.2
129	22.435
130	30
131	19.595
132	30
133	10.473
134	30
135	30
136	30
137	30
138	20
139	20
140	20
141	30
142	30
143	18.17
144	30
145	18.17
146	10.6615
147	15.805
148	30
149	19.12
150	24.985
151	12.484
152	10
153	10
154	13.81
155	13
156	13
157	13
158	8.9877
159	9.5
160	8.7695
161	8.7695
162	8.7695
163	11.16
164	22.905
165	21.015
166	22.435
167	8.1267
168	30
169	30
170	30
171	30
172	30
173	30
174	23.945
175	30
176	9.5
177	9.5
178	30
179	20
180	30
181	30
182	30
183	15.195
184	11.728
185	30
186	30
187	8.4
188	8.4
189	10
190	30
191	30
192	30
193	10.8985
194	10.4725
195	21.72
196	13
197	13
198	30
199	30
200	30
201	30
202	30
203	30
204	15.75
205	8.575
206	11.31
207	11.5
208	9.225
209	30
210	30
211	30
212	11.5
213	30
214	30
215	22.875
216	30
217	8.955
218	30
219	30
220	30
221	30
222	30
223	30
224	30
225	30
226	30
227	30
228	30
229	20
230	15
231	20
232	20
233	30
234	30
235	30
236	30
237	30
238	30
239	30
240	30
241	30
242	30
243	30
244	10
245	10
246	30
247	30
248	21.925
249	30
250	11.366
251	30
252	30
253	30
254	30
255	30
256	30
257	30
258	30
259	30
260	30
261	30
262	30
263	30
264	20.025
265	30
266	30
267	8.1
268	9.5385
269	9.6525
270	18.125
271	24.3
272	30
273	30
274	30
275	30
276	30
277	30
278	21.45
279	30
280	30
281	30
282	30
283	8.955
284	30
285	30
286	11.5
287	13.4
288	30
289	30
290	24.3
291	30
292	9.225
293	11.5
294	30
295	30
296	17.175
297	17.65
298	30
299	30
300	30
301	11.69
302	30
303	30
304	22.16
305	30
306	30
307	30
308	30
309	30
310	30
311	30
312	30
313	30
314	23.585
315	30
316	30
317	30
318	30
319	30
320	10.8875
321	21.925
322	11.31
323	13.97
324	30
325	30
326	11.5
327	11.5
